,job_title,company,location,summary
0,Web Developer,thoughtbot,"Boston, MA","We're looking for a developer experienced with Rails and JavaScript and interested in expanding into new technologies to join our team in Boston. You’ll work with our clients to build great products that delight users while using weekly investment time to contribute to our community and embetter thoughtbot.

Requirements:
thoughtbot web developers are able to build high-quality, test-driven web applications. Well-qualified candidates have an excellent knowledge of Ruby on Rails and JavaScript. While Rails experience is a must, we're also rapidly expanding our work into other languages, having recently shipped multiple projects with Elixir, Elm, and Scala. Experience or interest in these technologies is a big plus.
All persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification upon hire.

Benefits:
Our team works in a relaxed and educational environment to develop excellent products for our clients. We work at a sustainable pace of 40 hours per week, consulting for clients four days each week. We dedicate our non-client time to improving ourselves, our communities, and thoughtbot. Everything we do is predicated on having a great team and a culture of growing. We use the latest technologies and are willing to try new methods on both internal and client projects.
INVESTMENT DAYS
We have an investment day each Friday where we learn new tools and techniques, work on open source, create new products, write blog posts, and try to make ourselves, each other, and the community better. If you’ve used our open source libraries, read our blog, attended the local events we host, or seen us speak at conferences then you’ve seen the fruits of investment time.
ALWAYS LEARNING
We have a culture of continuous improvement. Investment days are a critical component in this, but we also offer training and conference benefits. We will cover 100% of all expenses incurred when you speak at a conference and a minimum of 50% of your expenses for any conference or training you attend.
You’ll also enjoy working with and learning from a diverse set of teammates across your client projects and during investment time. We dedicate time each week towards working collaboratively on exciting investment projects, wrapping the year up with a two-day event which our teammates often use to build brand new products in exciting new technologies.
STAY FRESH
We offer 25 paid vacation days and 11 paid holidays per year in addition to 10 paid sick days. New parents receive at least 6 weeks paid parental leave, as well as the ability to take up to 6 months off.
HEALTHCARE + FINANCIAL
We offer a competitive salary and excellent benefits. We pay 100% of medical, dental, vision, and life insurance premiums for full time employees and 90% of medical premiums for dependents. We also offer a comprehensive 401k plan."
1,Junior FE Web Developer in Boston,Third and Grove,"Boston, MA 02108","We're looking for a junior FE engineer to help us build web sites and applications for some of the world's major brands. You will write code, work closely with our senior engineers and architects, and learn how to be a better engineer. You will also get to work with one Drupal's core maintainers, catch. We sponsor him to work on Drupal core. We are a top five ranked Drupal agency in the world.
We don't just do Drupal. We work with lots of open source tools like Compass, SASS, Wordpress, Magento, Silex, Laravel, React, Node.js, and Laravel. We love clean code, front-end performance, pull requests, and tasty craft beer.
Hundreds of millions (yes, seriously) of people use the projects we work on every month, and everyone in your family will know the clients we work on. A recent TAG project was to rebuild Mint.com on Drupal.
Please no staffing agencies or contractors. You must be located in the Boston.
Perks!
Fridge stocked with craft beer
Snacks, coffee, tea, and other drinks
Cool office space in DTX a block from the Red Line
We will pay for you to get Acquia Drupal certified
Free MBTA pass
100% employer paid health insurance
401k
Skills & Requirements
Smart
Eligible to work in the US
You don't mind talking to people
Three years minimum experience with Wordpress / Drupal
Ability to work as part of a team
Experience with Git & Drush
About Third & Grove
Third and Grove is a digital agency located in San Francisco and Boston. We help organizations innovate by building amazing technology. We are a fast growing services start up.
We believe in Git, building things the right way, coding standards, and pushing ourselves to be better engineers, producers, and all-out innovators.
We are one of the few agencies that know how to manage a technology project (our founder literally wrote on the book on it). That means you work on fully baked requirements, are part of the estimate process, and aren’t blamed for late projects with unrealistic schedules."
2,Frontend Engineer,Robin,"Boston, MA 02210","As a Frontend Engineer you'll build the web apps that first introduce people to Robin, and help them build an office command center. We work with JavaScript, particularly in Node, AngularJS and React. Most of our effort today is for browsers, but we'll go wherever our customers get work done (e.g chat bots for Slack).

We prototype ideas quickly, ship, get feedback and repeat. You should be comfortable with JS that extends beyond $('.foo') and into fully baked apps where performance matters. We're looking for someone who's done it before and wants to be a part of building the foundation for a rapidly growing office platform.

About us:

We are a group of hard-working, self-driven developers
We’re hungry to learn and we invest time in teaching each other
We encourage frequent feedback from every person on the team
We’re always looking to improve our code—we embrace the “do it right” mentality
The ability to work with multiple technologies and languages.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We are ADA compliant and handicap accessible."
3,Junior Developer,Eaton Vance,"Boston, MA","By joining Eaton Vance, you’ll become part of a company that has one of the best employee retention rates in the financial services industry. We offer competitive salaries, generous benefits, and tremendous opportunities for growth and development. If you do not see a position that fits your career objectives, please return to this site in the future as our hiring needs will change. We look forward to your becoming a part of our continued success!
Basic Purpose:
The Investment Technology Junior Developer will be a member of 3 distinct teams focused on the support of the Distribution, Risk and Security and Infrastructure teams. The Junior developer will support and enhance production applications while being trained in industry best practices. The JR Developer will do 4-month rotations with several teams within the Investment Technology group for a period of 1 year. At the end of the program, and based on performance, a candidate may be offered a non-rotation based role in a designated area within IT.
Primary Responsibilities :
Understands the integrity of development models including the enforcement of standards, policies and system stewardship principles.
Comply with Sarbanes-Oxley and other regulatory requirements including user access and maintenance of key records.
Assists with team members evaluating and implementing vendor tools and processes.
Ability to work with non-technical end users to interpret and document user requirements and develop functional specifications.
Assists with Unit tests of individual application updates and is responsible for creating basic test plans.
Participates in code reviews to maintain standard coding practices.
Participates in system enhancement and operational processes. Will assist with application support documents used by the overnight support team for critical processes. Off-hour availability is required.
Manage small operationally focused projects (data/workflow oriented). Responsible for project tracking and status reporting.
Perform investigations of security incidents
Assist in the integration development among enterprise-wide security platforms.
Provide supporting materials for audit and regulatory requests
Job Requirements:
Bachelor’s degree in a Technology discipline, Business Administration, Economics or equivalent
1-2 years’ experience, internship experience is relevant
Strong SQL skills and web development experience (PHP/JavaScript) a plus
Experience with Microsoft Excel (strong skillset desired), Word, Outlook , and SQL Server Management Studio
Strong analytical skills
Excellent verbal and written skills
Ability to work effectively and efficiently with minimal supervision
A demonstrated track record handling demanding user groups a plus
Exposure to IT, Security and Audit Frameworks (ISO 27001, COBIT, ITIL, COSO, etc.)
Experience with security platforms such SIEM tools, IDS/IPS, DLP and forensic tools a plus
Eaton Vance is an equal opportunity employer and is committed to providing a work environment that is free of discrimination and harassment. It does not discriminate against applicants or employees with respect to any terms or conditions of employment on account of race, color, religion, creed, national origin, ancestry, sex, sexual orientation, age, genetic information, physical or mental disability (actual or perceived), medical condition including genetic characteristics, marital status, citizenship status, military service status, gender, gender identity, registered domestic partner status, or any other characteristic protected by applicable federal, state or local laws. Eaton Vance also prohibits discrimination based on the perception that anyone has any of those characteristics or is associated with a person who has or is perceived as having any of those characteristics. This commitment applies to all persons involved in the operations of Eaton Vance, and prohibits unlawful discrimination by any employee of Eaton Vance, including supervisors and co-workers. All employment decisions shall be consistent with the principles of equal employment opportunity.
The information on this Web site is for U.S. residents only. The information on this Web site does not constitute an offer to sell, or a solicitation of an offer to purchase, securities in any jurisdiction to any person to whom it is not lawful to make such an offer. Eaton Vance does not provide tax or legal advice. Prospective investors should consult with a tax or legal advisor before making any investment decision. © Eaton Vance Management. All rights reserved. Two International Place, Boston, MA 02110"
4,Full-Stack Software Developer,Bevi,"Boston, MA","Bevi's mission is to eliminate plastic bottles by making the best drinks instantly available, using purified tap water and natural flavors. Our team possesses the passion, energy and drive to make a difference in the world. We are united by a belief that hard work creates meaningful change and we are looking for creative, committed people to join us as we continue in aggressive growth mode. If you enjoy mission-driven work in a startup environment with abundant opportunity for responsibility and impact, then we’d like to talk.

We are always seeking great (or soon to-be great) software developers to build future versions of our software. Our ideal candidate, while having his areas of expertise, will not shy away from digging into any part: web ui, backend, firmware and mobile applications. We are a small and fun software team in a fast growing hardware startup. Our customers love our product and you will play a crucial role in making them even happier. If you love thinking through new ideas and interactions, how to execute them in an innovative way and have a deep respect for user experience, come join our team!

Our newest Full-stack Software Developer will:

Focus on innovating and better ways to create solutions that add value and amaze the end user
Be part of a small, agile, driven and fun software team
Create software that supports our physical product and take on responsibility for shaping that product
Build enhancements to our tablet and it's android mobile apps
Work with a very broad set of technologies, from embedded programming to mobile android apps, from UI to backend and database
Scale our backend to handle factor 10 increase

We think you will bring:

Experience building and shipping nontrivial applications of at least reasonable complexity
Strong analytical and technical skills, you are detail-oriented and work fast
A true self-starter approach and love of taking on responsibility
A hunger for keeping up with new software technologies and you can't imagine yourself not doing so. Our stack includes React.js, Redux, Android, Java and Docker
Genuine desire and commitment to always learn, improve, produce the best work possible
An agile mindset to thrive in a fast-pace environment
Firmware would be a plus; embedded development; AOSP
A BS/MS degree in CS or an allied discipline - or the equivalent in independent experience

Joining us at Bevi means:

The opportunity to work on products with positive, tangible, environmental impact
Company-paid medical, dental, and vision insurance at 95%
Generous paid parental leave
15 days PTO and 9 company holidays
Collaborative workspaces with visiting furry friends, great snacks, and, of course, Bevis!

All interested candidates should submit their resume and a cover letter. Please don’t forget the cover letter! We love learning more about what motivates you (i.e. why you are in your current role, why Bevi, why a start-up, etc.) and who you are (i.e. interests, hobbies, what sets you apart from other candidates, etc.)."
5,"Software Engineer, Blog Front End",HubSpot,"Boston, MA","The HubSpot blog team owns the blogging experience in the HubSpot’s inbound marketing product, used by tens of thousands of blogs across the web. We’re looking to make the blogging experience even better for our customers by streamlining and simplifying blog post creation, starting from ideation through to publishing. We're adding collaboration and editing features that support the creative process, making the production of remarkable blog content easier than ever.

In this role, you’d be able to have a huge impact on that product & HubSpot as a whole. We’re looking for a talented front-end developer interested in helping define the architecture, user experience, and features of our next generation blog editor and tools.

If this sounds like you, we’d love to hear from you:

You’re excited to work with talented developers across teams to tackle tough technical problems both large and small
You love to focus on customers and have a passion for building great user experiences
You have experience designing, building, and debugging single-page apps
You have an eye for great JavaScript performance
You’re eager to work on a cutting-edge front-end stack, including React, Redux, and ES6

At HubSpot, apps are owned and developed by small, autonomous, cross-functional teams. You and your team set the goals, set the timelines, build the software, go to user tests, and carry the pager.

About HubSpot

HubSpot is on a mission to help businesses grow globally. Thousands of customers worldwide use HubSpot inbound marketing and sales software to transform the way they attract, engage, and delight customers. Through its unique approach to company culture, HubSpot has also redefined how people work and live. Our commitment to autonomy, flexibility, and transparency prompted the creation of our Culture Code ( https://blog.hubspot.com/blog/tabid/6307/bid/34234/The-HubSpot-Culture-Code-Creating-a-Company-We-Love.aspx ), which has gone viral, amassing more than 2M views. Ensuring that our customers and employees are continually growing and learning has helped make HubSpot a Best Place to Work in the eyes of Glassdoor, Fortune, Entrepreneur, Inc. The Boston Globe, and the Boston Business Journal. Founded in Cambridge, MA in 2006, HubSpot has offices in Portsmouth, NH; Dublin, Ireland; Sydney, Australia; Singapore; Tokyo, Japan; and Berlin, Germany."
6,Junior Software Engineer,BondLink,"Boston, MA 02210","About Us

BondLink provides a SaaS platform to bond issuers in the $4 trillion municipal bond industry. We have recently raised a large Series A, we have strong revenue growth, and we are already working with many of the largest issuers in the country.

While our product is finance focused, make no mistakes; internally we are a genuine tech-first startup culture.

Our co-founders include a serial tech entrepreneur with multiple successes and a senior ex-government official with deep experience in the wheelhouse of our product offering.

Culturally we provide all the startup bells and whistles, and we have a beautiful new office in Fort Point that we’re looking to fill with talented people.

The Job

Our core language is Scala, but we are a language agnostic shop that loves all open source developers who are eager to learn.

Other techs on the tech stack: Play, Scalatra, SBT, MariaDB, Salt, Vagrant, Bootstrap, JQuery, TypeScript, Git, and more… we are still defining the stack!

Our core offering is a web-based SaaS product, but we have some cool offline stuff to work on too.

We believe in continuous integration, unit testing, good architecture practices, and moving fast.

You’ll work with other senior engineers that have been there before.

This is early. We are currently building an MVP. Thus you will have an opportunity to help shape the early technology decisions that your future co-workers will inevitably complain about in 5 years.

Requirements

Get excited about everything in the previous section.

We are hiring at all levels.

CS degree preferred for juniors, but seniors you can let your experience do the talking.

Must be local to Boston or happily willing to relocate. We are in Fort Point, a 5 minute walk from South Station.

No financial industry knowledge required.

Pay: Commensurate salary and compelling equity.

Please no recruiters, contractors, or outsource agencies. We are looking for in-house full-time candidates only."
7,Web Developer,BondLink,"Boston, MA 02210","About Us

BondLink provides a SaaS platform to bond issuers in the $4 trillion municipal bond industry. We have recently raised a large Series A, we have strong revenue growth, and we are already working with many of the largest issuers in the country.
While our product is finance focused, make no mistakes; internally we are a genuine tech-first startup culture.

Our co-founders include a serial tech entrepreneur with multiple successes and a senior ex-government official with deep experience in the wheelhouse of our product offering.

Culturally we provide all the startup bells and whistles, and we have a beautiful new office in Fort Point that we’re looking to fill with talented people.

The Job

We are looking for a web developer who is not scared of the full stack, but definitely excels on the front-end side.

Our core language is Scala, but we are a language agnostic shop that loves all open source developers who are eager to learn.

We use Bootstrap, TypeScript, JavaScript, JQuery, SCSS, and more.

We believe in continuous integration, unit testing, good architecture practices, and moving fast.

You’ll work with other senior engineers that have been there before.

This is early stage. We are live with happy customers but the product is still evolving.

Requirements

Get excited about everything in the previous section.

Must have a strong eye for design.

Solid understanding of UX.

We are hiring at all levels.

CS degree preferred for juniors, but seniors you can let your experience do the talking.

Must be local to Boston or happily willing to relocate. We are in Fort Point, a 5 minute walk from South Station.

No financial industry knowledge required.

Pay: Commensurate salary and compelling equity."
8,Junior Web Producer/Front-End Developer,Kaspersky Lab,"Woburn, MA 01801","Main Purpose of Job:
Development and maintenance of websites and web application’s user interfaces. This involves working closely with designers, in using semantic mark-up language i.e. HTML5 and CSS3 to turn their static Photoshop designs into working browser based web pages
Using material gathered from internal sources, create and/or modify web content using the CMS - work acrossall of Kaspersky Lab’s websites in multiple languages.
To execute on high standard, high quality and time-bound deliverables and services that fully satisfy the requirements of Kaspersky Lab’s marketing activities and sales business model.
To work within, enhance and govern Kaspersky Lab’s Brand guidelines, style guides and webstandards.

Desirable Skills or Knowledge
HTML5 and CSS3, including knowledge of emerging standards
JavaScript, JQuery including architecture, debugging, libraries and quirks
Knowledge of Adobe PhotoShop and Illustrator
Demonstrate a keen eye for detail
Strong, positive team player with good problem solving skills
JSP Tridion CMS (beneficial but not essential )

The ideal candidate must:
Have experience of working in a business to business and/or business to customer marketing environment
Have excellent verbal and written skills required for communication with internal customers, suppliers and extended teams"
9,Web Developer,MassMutual,"Boston, MA 02298","Since 1851, MassMutual’s commitment has always been to help people protect their families, support their communities, and help one another. This is why we want to inspire people to Live Mutual. We’re people helping people.
A career with us means you will work alongside exceptional people and be empowered to reach your professional and personal goals. Our employees are the foundation of what makes MassMutual a strong, stable and ethical business. We invite you to bring your bright, innovative ideas to MassMutual as we continue to help millions of Americans rely on each other.
Together, we’re stronger.
Description
The Digital Solutions Development organization of MassMutual’s Customer Experience Business Group seeks an exceptional and experienced Front End Developer. This is an opportunity to work in a fast paced, innovative, and collaborative environment on exciting technology directives. This position can be located in our Boston or New York City offices.

BASIC QUALIFICATIONS

3 years’ experience with front end development and UI/UX design experienceComprehensive understanding of front-end technologies: HTML5, CSS, JavaScriptExperience with jQuery, jQuery UIExtensive experience with Backbone.js, ReactJS, Redux, or similar JavaScript frameworks a mustExperience writing unit tests using jsdom, chai, sinon, enzyme, or similar JavaScript testing frameworks a mustExperience with developing RESTful applicationsAbility and previous experience creating wireframes and mockupsExperience with design tools such as PhotoShop, IllustratorAuthorized to work in the United States with or without sponsorship

PREFERRED QUALIFICATIONS

5 years’ experience with front end development and UI/UX design experience preferredExperience collaborating with a team of programmers with varying skillsetsEntrepreneurial mindset with the ability to work in a rapid and iterative development environmentSuperior communication skills with the ability to work directly with business partners
Ranked No. 77 in the annual FORTUNE ® 500 Ranking (FORTUNE ® Magazine, June 2017) and recognized as a World’s Most Ethical Company by Ethisphere, MassMutual is guided by a single purpose: We help people secure their future and protect the ones they love. As a company owned by our policyowners, we are defined by mutuality and our vision to put customers first. It’s more than our company structure – it’s our way of life. We are a company of people protecting people. Our company exists because people are willing to share risk and resources, and rely on each other when it counts. At MassMutual, we Live Mutual.
CORE VALUES
Focus on the Customer: We understand our customers well and look for every opportunity to deliver an experience that is clear, easy, personal, human, empowering and trustworthy.
Act with Integrity: We deliver on our promises by being open, honest and humble and by adhering to the letter and spirit of applicable laws, rules, regulations and company policies.
Value People: We respect and learn from each other’s diverse backgrounds, experiences and ideas. We engage and develop people to their greatest potential.
Work Collaboratively: We work together to achieve results by actively listening, seeking, understanding and creating solutions as a unified team driving toward one company, one culture, one brand.
Achieve Results: We focus on winning by exceeding expectations and getting better – everyone, every day.
For more information, visit www.massmutual.com or find us on Facebook, Twitter, LinkedIn, YouTube, Google+, Instagram and Pinterest.
MassMutual is an Equal Employment Opportunity employer Minority/Female/Sexual Orientation/Gender Identity/Individual with Disability/Protected Veteran. We welcome all persons to apply."
