,listing_url,job_title,company,location,summary
0,http://www.indeed.com/rc/clk?jk=acec0008c6542da0&fccid=5a31ef999afce663&vjs=3,Full Stack Software Engineer,Nine Summer,Connecticut,"This position is on the product team responsible for a leading SaaS product that is used by organizations throughout the US and hundreds of thousands of people. We have an office near New Haven, Connecticut - but you can be based anywhere.

Our partner, Patron Technology is a provider of technology solutions for arts and cultural organizations. Its flagship product, PatronManager CRM, is an application built on the Force.com platform that allows organizations to run all aspects of their business, including: selling reserved seating tickets, subscriptions, and memberships online, managing electronic and physical communications and, if applicable, accepting donations -- all while still leveraging the core CRM features of Salesforce.com.

The Force.com platform is one of the fastest growing and exciting Platform-as-a-Service offerings available today. This is your opportunity to learn a new, highly marketable technology platform while being paid to do so.

We are currently seeking an experienced and passionate software development professional for the role of Software Engineer. The ideal candidate will be able to think strategically to provide input on key components of the system, while also rolling-up their sleeves and executing that vision crisply. Patron Technology’s development team is headquartered at Nine Summer’s office in Woodbridge, CT.

Qualifications

Several years of professional web software development experience.

Desirable experience includes: Java Server Faces (JSF) and bonus points for having coded any Apex/Visualforce

Disciplined approach to testing and quality assurance

Strong command of web standards, CSS-based design, cross-browser compatibility

Some experience in client side scripting (Javascript), preferably using a framework such as Backbone, Angular, Knockout, etc.

Experience with API design and use

You are passionate about the craft of writing software

Must be able to effectively communicate progress and ideas

B.S. or higher in Computer Science or equivalent

Responsibilities

You will immediately become a core contributor to our native Force.com application that runs in the Salesforce.com cloud. Supporting components are written in Ruby (Rails), Java (Android), and Javascript (AngularJS and Backbone MVC).

Compensation

Competitive salary, commensurate with experience and ability

Nice company benefits program with health insurance, 401k with matching, life insurance, disability insurance and more

Casual work environment in a comfortable office space

About Patron Technology

Patron Technology is a software company based in New York City with its development headquarters at Nine Summer’s office in Woodbridge, CT. Patron Technology was founded in 2001 and enjoyed great success with its ESP product, PatronMail. In 2008, Patron Technology set out to build a CRM product for arts and cultural organizations. We are growing our team to help us accelerate the ability to deliver PatronManager to larger and more complex organizations, and add innovations that go beyond what is available in competitive products."
1,http://www.indeed.com/rc/clk?jk=f68563da3f0597a9&fccid=e9e363d6332bc1cd&vjs=3,Software Engineer 1,Juniper Networks,"Sunnyvale, CA","Software Engineer—Backend
Did you spend four or more years working hard towards your education to be unfulfilled by your work? Do you feel like you are having no impact in your current job? Do you know that you can bring a fresh perspective to challenges but aren’t given the chance? At Juniper-AppFormix, our team is creating new products and features and all of our work is directly seen or used by our growing customer base. Our engineers work together as a team, collaborating and discussing new ideas daily. We share our ideas openly without worry for who gets the “glory” because when the team wins, we all win.
AppFormix is not for everyone. If collaboration isn’t your cup of tea and working in a very agile environment bothers you, then we probably are not the best match. But, if you are relentlessly focused on the quality of your code, see the value in peer code reviews, and have an interest in cloud computing, then we might be a match and you should apply.
As a member of this team, you are creating products that will be used by all of our customers. On a daily basis you will be doing code reviews, working with your team to overcome challenges,
The most successful engineers in this role have:BSCS or other technical degree plus 0-2 years experience or MSCS and some work experience or internshipAbility to demonstrate high proficiency in PythonBasic knowledge of cloud technologies like Docker, Openstack, Kuberneters, AWS, GCP and Azure.Experience with Ansible a plusA thirst to continue learningA desire and interest to learn and work in the Docker ecosystem"
2,http://www.indeed.com/rc/clk?jk=4b9111710c4bc473&fccid=aeb15e43a6800b9d&vjs=3,Software Engineer Asc,Lockheed Martin,Connecticut,"This Lockheed Martin Enterprise Business Services (EBS) Software Engineer position is a Java / COTS developer supporting the Rotary & Mission Systems (RMS) business area engineering applications.

A developer with a strong technical background is needed to join an existing high performing team supporting business critical applications for the RMS Engineering & Technology organization. Successful candidates will be expected to quickly come up to speed on new technologies and internal processes. This assignment works with a large and complex COTS product where not all aspects are completely documented. To be successful a candidate must be willing to show initiative and develop creative Java solutions utilizing the set of available resources. To facilitate necessary skill growth both on the job and formal training opportunities will be provided.

This position is expected to work under supervision from technical and functional leads while addressing software development challenges of varying complexity. The applicant will be expected to integrate into an existing agile software development process utilizing daily scrums and sprints while adjusting quickly to a fast paced working environment.

WORK LOCATION FOR THIS POSITION CAN BE AT ANY U.S. BASED (AND U.S. TERRITORY) LOCKHEED MARTIN ROTARY AND MISSION SYSTEMS (RMS) FACILITY IN AGUADILLA, PUERTO RICO, LIVERPOOL, NY, KING OF PRUSSIA, PA, MANASSAS, VA, MOORESTOWN, NJ, ORLANDO, FL, OWEGO, NY, STRATFORD, CT.

Basic Qualifications
Proficient Java and Object Oriented development skills.Demonstrated understanding of HTML, CSS, Java Server Pages (JSP), JavaScript, AJAX, and related concepts.Strong SQL skills and understanding of relational databases.Ability to execute the full software development lifecycle including developing requirements.Demonstrated willingness to take initiative and develop innovative solutions to complex problems.Excellent written and verbal communication skills.Ability to obtain a secret security clearance.

Desired skills
Knowledge of PTC Windchill, ProjectLink, PDMLink or other PTC COTS products.Knowledge of IBM COGNOS Business Intelligence.Knowledge of Subversion or other major software configuration management tools.Previous knowledge or training with agile software development concepts, techniques, and tools.Demonstrated effectiveness working with teammates in a virtual environment.

As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.

Join us at Lockheed Martin, where we’re engineering a better tomorrow.

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.

Job Location(s):
City(s): Aguadilla, King of Prussia, Liverpool, Manassas, Moorestown, Orlando, Owego, Stratford

State(s): Connecticut, Florida, New Jersey, New York, Pennsylvania, Puerto Rico, Virginia"
3,http://www.indeed.com/rc/clk?jk=937b1f1f803a9870&fccid=4db2ddf023fb6496&vjs=3,Senior Software Engineer,Rebric,"Denver, CO","Rebric is looking for a Senior Software Engineer to help shape and build a team that embraces a DevOps Culture. You will have the opportunity to help implement a new microservices based architecture from the ground up, helping make technology choices to allow for future growth and sustainability.

If you are interested in this position, please fill out this form:
http://rebric.io/applicant/new/4BcBFsFS
We will only be considering candidates that complete the survey. We use a machine learning algorithm to evaluate the answers and will respond within 5 business days on whether or not there will be a technical interview. If you have any questions or difficulty with the process please do not hesitate to reach out to us.

Requirements:
As a Senior Software Engineer, you will be responsible for:

Designing and implementing new platform solutions that will improve the product delivery of engineering teams throughout the world
Advocating industry best-practices in software design and continuous delivery
Improving the testability of solutions to maintain high quality standards
Evaluating and recommending the best tools and development strategies for solving common and complex engineering problems
Building secure, scalable, distributed and fault-tolerant cloud-based systems
Mentoring other developers and sharing your knowledge and experience throughout the company
Participating in Agile planning sessions, retrospectives & stakeholder demos
Helping the team meet sprint goals and overall project delivery milestones

Benefits:
Salary based off of experience, with a starting range in the mid 100’s."
4,http://www.indeed.com/rc/clk?jk=1a61b0a758b3ecf9&fccid=53c1573dc4db9cab&vjs=3,Software Engineer,General Electric,"West Melbourne, FL","About Us:
GE is the world's Digital Industrial Company, transforming industry with software-defined machines and solutions that are connected, responsive and predictive. Through our people, leadership development, services, technology and scale, GE delivers better outcomes for global customers by speaking the language of industry.
GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

Role Summary:
The Software Engineer will be responsible to develop new features for Trip Optimizer Product. In this role you will demonstrate leadership in communicating business goals, programs, and processes for an area or business segment. You will utilize experience or expertise to solve problems, develop and execute objectives for self and others, and have the ability to effect short term and some long-term business goals.

Essential Responsibilities:

Be responsible for software development / maintenance of components, systems, and networks
Analyze user needs to design and code
Program (in C, C++, Java, etc.) all applications, components, and interfaces
Work closely with the business unit to ensure application development meets product specification requirements
Work closely with other engineering teams, partners, and vendors to ensure inter-operability/reuse
Design, implement, and test software, ensuring quality specifications are met
Participate actively in design and code reviews
Drive performance and reliability enhancements
Be responsible for close interaction with customers to drive requirements and customer satisfaction
Experience with Embedded Software Development

Qualifications/Requirements:
Basic Qualifications:

Bachelor’s Degree in Computer Science or in “STEM” Majors (Science, Technology, Engineering and Math)
A minimum of 2 years of professional experience in Software Development.
GE Leadership Program Graduates will get credit towards relevant work experience, commensurate to the program they have completed

Eligibility Requirements:

Legal authorization to work in the U.S. is required. We will not sponsor individuals for employment visas, now or in the future, for this job.
Must be willing to work out of an office located in Melbourne, FL.

Desired Characteristics:
Technical Expertise:

Knowledge of data structures, algorithms, and software engineering principles.
Knowledge of Network Protocols and Serial Communications.
Experience in leading technical discussions with key stakeholders to identify appropriate specifications.

Business Acumen:

Has the ability to break down problems and estimate time for development tasks
Has the ability to make basic technology choices based on experience
Demonstrates awareness about competitors and industry

Leadership:

Has the ability to take ownership of small tasks and deliver without supervision while using their discretion to seek help when necessary
Voices opinions and presents clear rationale. Uses data or factual evidence to influence
Recognizes collaborative behavior and participates in collaborative activities

Personal Attributes:

Demonstrate the ability to help team members
Seeks to understand problems thoroughly before implementing solutions. Asks questions to clarify requirements when ambiguities are present
Identifies opportunities for innovation and offers new ideas. Takes the initiative to experiment with new software frameworks

#DTR

Locations: United States; Florida; West Melbourne

GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

GE will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditional upon the successful completion of a background investigation and drug screen."
5,http://www.indeed.com/rc/clk?jk=106a8d96e01e0ddd&fccid=105ecfd0283f415f&vjs=3,Software Engineer Lead,Capgemini,Connecticut,"About Capgemini
With more than 193,000 people in over 44 countries, Capgemini is one of the world's foremost providers of consulting, technology and outsourcing services. The Group reported 2016 global revenues of EUR 12.539 billion. Together with its clients, Capgemini creates and delivers business and technology solutions that fit their needs and drive the results they want. A deeply multicultural organization, Capgemini has developed its own way of working, the Collaborative Business ExperienceTM, and draws on Rightshore®, its worldwide delivery model Learn more about us at www.capgemini.com.
Rightshore® is a trademark belonging to Capgemini
 Capgemini America Inc is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.
This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.
Job Responsibilities
Job Title: Microservices Lead
Location: Stamford, CT

Java, Spring Boot, Spring Cloud, Pivotal Cloud Foundry, Microservices design, Excellent Communication Skills, Agile experience

Candidate with minimum 6 years of strong experience on J2EE, Spring Boot, PCF Cloud technologies. Would need to work closely with the team and Clients on a daily basis. Need to have strong programming and web development skills in Java and Spring/ Struts framework.
Solid hands-on experience in architecting and developing J2EE based web applications (JSP, Servlet, JDBC, JMS, Spring framework) and Web securityExperience on Spring Boot, PCF Cloud and MicroservicesAbility to code and script front-end features.Ability to independently execute projects and troubleshoot production issues.Knowledge on Agile methodology"
6,http://www.indeed.com/rc/clk?jk=91f391a1f23c54f5&fccid=e9e363d6332bc1cd&vjs=3,Software Engineer - Backend,Juniper Networks,"Sunnyvale, CA","Software Engineer—Backend
Did you spend four or more years working hard towards your education to be unfulfilled by your work? Do you feel like you are having no impact in your current job? Do you know that you can bring a fresh perspective to challenges but aren’t given the chance? At Juniper-AppFormix, our team is creating new products and features and all of our work is directly seen or used by our growing customer base. Our engineers work together as a team, collaborating and discussing new ideas daily. We share our ideas openly without worry for who gets the “glory” because when the team wins, we all win.
AppFormix is not for everyone. If collaboration isn’t your cup of tea and working in a very agile environment bothers you, then we probably are not the best match. But, if you are relentlessly focused on the quality of your code, see the value in peer code reviews, and have an interest in cloud computing, then we might be a match and you should apply.
As a member of this team, you are creating products that will be used by all of our customers. On a daily basis you will be doing code reviews, working with your team to overcome challenges,
The most successful engineers in this role have:BSCS or other technical degree plus 2-4 years experience or MSCS and some work experience or internshipAbility to demonstrate high proficiency in PythonBasic knowledge of cloud technologies like Docker, Openstack, Kuberneters, AWS, GCP and Azure.Experience with Ansible a plusA thirst to continue learningA desire and interest to learn and work in the Docker ecosystem"
7,http://www.indeed.com/rc/clk?jk=251518bfae4f8354&fccid=03d280daa9635633&vjs=3,Software Engineer,"23andMe, Inc.","Mountain View, CA","Experienced software engineers wanted! Solve challenging engineering problems that come with building a highly interactive website and manipulating large amounts of data in the background. Work within a small, fast-paced team that has a mix of veteran engineers and recent graduates. Enjoy a collaborative environment with small project teams working on a variety of tasks ranging from website development to genotype data processing. Come join us in our mission to be the world's trusted source of personal genetic information.  

Who we are
Since 2006, 23andMe’s mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what’s possible to help turn genetic insight into better health and personal understanding.

What you’ll do

Design and implement new features and frameworks
Participate in product development process
Write unit and functional tests
Solve performance and scalability problems What you’ll bring

B.S. in Computer Science or a related field and a minimum of one year software team experience
Working knowledge of Python and/or significant exposure to different programming languages and paradigms
Ability to work with minimum supervision to deliver well-designed high-quality code on time
Experience with LAMP stack web application development
Experience with front-end technologies (HTML/CSS/JavaScript)
Understanding of web security and cryptography concepts
About Us
23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its “50 Smartest Companies, 2017” list, and named one of Fast Company’s “25 Brands That Matter Now, 2017”. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe, Inc. is located in Mountain View, CA. More information is available at www.23andMe.com .
At 23andMe we value a diverse, inclusive work force and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.
Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you."
8,http://www.indeed.com/rc/clk?jk=f35abc8a2701c479&fccid=8bc01be85b97ce0d&vjs=3,"Full Stack Software Engineer- Cape Canaveral, FL Launch Site",SpaceX,"Cape Canaveral, FL",".
SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars.
Full Stack Software Engineer- Cape Canaveral, FL Launch Site
The Enterprise Information Systems (EIS) team writes the software that builds rockets and powers SpaceX. We are a dynamic, highly iterative community responsible for all of the software on the factory floor, the warehouses, the financial systems, the supply chain systems, and more. Elon has called us the ""nervous system"" of SpaceX because we connect all of the other teams at SpaceX to ensure that the entire rocket building process runs smoothly.

Responsibilities:
We are seeking software engineers with demonstrable experience developing across a full application stack. Our applications are written in: ASP.NET, C#, SQL Server, AngularJS, and TypeScript, but we don’t require experience in a specific language as long as you possess core computer science fundamentals in full stack development. Are you comfortable tackling new problems and innovating solutions? Do you love interacting with every facet of a business? Do you consider yourself creative, motivated, and able to take ownership of the applications you build? If this sounds like you, you can help us get to Mars!

Basic qualifications:
Bachelor's degree in computer science, engineering, physics, mathematics, or similar technical discipline.
3+ years of experience developing across a full-stack: Web server, relational database, and client-side/front-end.

Preferred skills and experience:
Database - Understanding of SQL and ability to write performant SQL. Ability to diagnose queries, and work with DBAs.
Server - Knowledge of how web servers operate on a low-level. Familiar with web protocols, developing APIs, scaling web applications. Ability to increase performance and diagnose problems.
Good judgment in UX/UI design. Understands the finer points of HTML, CSS, and JavaScript - know which tools to use when and why.
System architecture - Proficiency in structuring a database, website, and rich client side application from scratch.
Quality - Demonstrated usage of different testing patterns, continuous integration processes, build deployment systems. Continuous monitoring.
Current - Up to date with current trends, patterns, goings-on in the world of web development as it changes rapidly. Strong knowledge of computer science fundamentals and applying them in the real-world.
Development - Experience with Agile Development and Scrum methodologies.

ITAR Requirements:
To conform to U.S. Government space technology export regulations, applicant must be a U.S. citizen, lawful permanent resident of the U.S., protected individual as defined by 8 U.S.C. 1324b(a)(3), or eligible to obtain the required authorizations from the U.S. Department of State. Learn more about ITAR here .
SpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status.
Applicants wishing to view a copy of SpaceX’s Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process should notify the Human Resources Department at (310) 363-6000."
9,http://www.indeed.com/rc/clk?jk=bf2dc69227005600&fccid=c1099851e9794854&vjs=3,Software Engineer (Java),Apple,"Santa Clara Valley, CA","Do you like the idea of running global services that are used by millions of passionate people all over the world? Do you enjoy working on challenges that no one has solved yet? Do you like changing the game? Imagine what you could do here! At Apple, great ideas have a way of becoming great products very quickly. Bring passion and dedication to your job and there’s no telling what you could accomplish.


Key Qualifications
5+ years of experience of developing and maintaining infrastructure in a high volume of customer-facing environment.
Strong core Java and Java EE programming skills.
Strong object oriented programming and design skills.
Experience with Java web frameworks such as Spring MVC.
Experience writing Java libraries and developing REST APIs (i.e. writing code/services meant to be used by others).
Experience with writing hand-crafted SQL, PL/SQL.
Familiarity with Tomcat, Weblogic, JBoss, Jetty etc.
Excellent problem solving skills.
Phenomenal Debugging skills.
Strong communication skills and ability to work effectively across multiple business and technical teams.
Demonstrated ability to deliver results on time with high quality.
Aptitude to independently learn new technologies.

Description
We are looking to hire outstanding individuals to join our team of Foundation Services to build and run the platform that delivers Apple’s services to all of its customers around the world. Help us build the Apple experience on a global scale. Additional key skills: Experience with SOLR or ElasticSearch Experience with Spring-Boot/Dropwizard Knowledge of HTML5, CSS3, JavaScript and Angular JS Knowledge of scripting languages (e.g. ruby, python, Perl, bash, etc.) Responsibilities will include: Measurement and optimization of system performance Build automation frameworks/scripts Deployment, support and monitoring of new platforms and application stacks. Participate in new technology evaluation, design and development of highly scalable distributed databases Explore and evaluate new technologies and solutions to push our capabilities forward, getting ahead of our customers’ needs, getting people incentivized to transform, innovate and continually improve


Education
BS in Computer Science or equivalent experience"
