,url,location,job_title,company,summary
0,http://www.indeed.com/rc/clk?jk=acec0008c6542da0&fccid=5a31ef999afce663&vjs=3,Connecticut,Full Stack Software Engineer,Nine Summer,"This position is on the product team responsible for a leading SaaS product that is used by organizations throughout the US and hundreds of thousands of people. We have an office near New Haven, Connecticut - but you can be based anywhere.

Our partner, Patron Technology is a provider of technology solutions for arts and cultural organizations. Its flagship product, PatronManager CRM, is an application built on the Force.com platform that allows organizations to run all aspects of their business, including: selling reserved seating tickets, subscriptions, and memberships online, managing electronic and physical communications and, if applicable, accepting donations -- all while still leveraging the core CRM features of Salesforce.com.

The Force.com platform is one of the fastest growing and exciting Platform-as-a-Service offerings available today. This is your opportunity to learn a new, highly marketable technology platform while being paid to do so.

We are currently seeking an experienced and passionate software development professional for the role of Software Engineer. The ideal candidate will be able to think strategically to provide input on key components of the system, while also rolling-up their sleeves and executing that vision crisply. Patron Technology’s development team is headquartered at Nine Summer’s office in Woodbridge, CT.

Qualifications

Several years of professional web software development experience.

Desirable experience includes: Java Server Faces (JSF) and bonus points for having coded any Apex/Visualforce

Disciplined approach to testing and quality assurance

Strong command of web standards, CSS-based design, cross-browser compatibility

Some experience in client side scripting (Javascript), preferably using a framework such as Backbone, Angular, Knockout, etc.

Experience with API design and use

You are passionate about the craft of writing software

Must be able to effectively communicate progress and ideas

B.S. or higher in Computer Science or equivalent

Responsibilities

You will immediately become a core contributor to our native Force.com application that runs in the Salesforce.com cloud. Supporting components are written in Ruby (Rails), Java (Android), and Javascript (AngularJS and Backbone MVC).

Compensation

Competitive salary, commensurate with experience and ability

Nice company benefits program with health insurance, 401k with matching, life insurance, disability insurance and more

Casual work environment in a comfortable office space

About Patron Technology

Patron Technology is a software company based in New York City with its development headquarters at Nine Summer’s office in Woodbridge, CT. Patron Technology was founded in 2001 and enjoyed great success with its ESP product, PatronMail. In 2008, Patron Technology set out to build a CRM product for arts and cultural organizations. We are growing our team to help us accelerate the ability to deliver PatronManager to larger and more complex organizations, and add innovations that go beyond what is available in competitive products."
1,http://www.indeed.com/rc/clk?jk=4b9111710c4bc473&fccid=aeb15e43a6800b9d&vjs=3,Connecticut,Software Engineer Asc,Lockheed Martin,"This Lockheed Martin Enterprise Business Services (EBS) Software Engineer position is a Java / COTS developer supporting the Rotary & Mission Systems (RMS) business area engineering applications.

A developer with a strong technical background is needed to join an existing high performing team supporting business critical applications for the RMS Engineering & Technology organization. Successful candidates will be expected to quickly come up to speed on new technologies and internal processes. This assignment works with a large and complex COTS product where not all aspects are completely documented. To be successful a candidate must be willing to show initiative and develop creative Java solutions utilizing the set of available resources. To facilitate necessary skill growth both on the job and formal training opportunities will be provided.

This position is expected to work under supervision from technical and functional leads while addressing software development challenges of varying complexity. The applicant will be expected to integrate into an existing agile software development process utilizing daily scrums and sprints while adjusting quickly to a fast paced working environment.

WORK LOCATION FOR THIS POSITION CAN BE AT ANY U.S. BASED (AND U.S. TERRITORY) LOCKHEED MARTIN ROTARY AND MISSION SYSTEMS (RMS) FACILITY IN AGUADILLA, PUERTO RICO, LIVERPOOL, NY, KING OF PRUSSIA, PA, MANASSAS, VA, MOORESTOWN, NJ, ORLANDO, FL, OWEGO, NY, STRATFORD, CT.

Basic Qualifications
Proficient Java and Object Oriented development skills.Demonstrated understanding of HTML, CSS, Java Server Pages (JSP), JavaScript, AJAX, and related concepts.Strong SQL skills and understanding of relational databases.Ability to execute the full software development lifecycle including developing requirements.Demonstrated willingness to take initiative and develop innovative solutions to complex problems.Excellent written and verbal communication skills.Ability to obtain a secret security clearance.

Desired skills
Knowledge of PTC Windchill, ProjectLink, PDMLink or other PTC COTS products.Knowledge of IBM COGNOS Business Intelligence.Knowledge of Subversion or other major software configuration management tools.Previous knowledge or training with agile software development concepts, techniques, and tools.Demonstrated effectiveness working with teammates in a virtual environment.

As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.

Join us at Lockheed Martin, where we’re engineering a better tomorrow.

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.

Job Location(s):
City(s): Aguadilla, King of Prussia, Liverpool, Manassas, Moorestown, Orlando, Owego, Stratford

State(s): Connecticut, Florida, New Jersey, New York, Pennsylvania, Puerto Rico, Virginia"
2,http://www.indeed.com/rc/clk?jk=f68563da3f0597a9&fccid=e9e363d6332bc1cd&vjs=3,"Sunnyvale, CA",Software Engineer 1,Juniper Networks,"Software Engineer—Backend
Did you spend four or more years working hard towards your education to be unfulfilled by your work? Do you feel like you are having no impact in your current job? Do you know that you can bring a fresh perspective to challenges but aren’t given the chance? At Juniper-AppFormix, our team is creating new products and features and all of our work is directly seen or used by our growing customer base. Our engineers work together as a team, collaborating and discussing new ideas daily. We share our ideas openly without worry for who gets the “glory” because when the team wins, we all win.
AppFormix is not for everyone. If collaboration isn’t your cup of tea and working in a very agile environment bothers you, then we probably are not the best match. But, if you are relentlessly focused on the quality of your code, see the value in peer code reviews, and have an interest in cloud computing, then we might be a match and you should apply.
As a member of this team, you are creating products that will be used by all of our customers. On a daily basis you will be doing code reviews, working with your team to overcome challenges,
The most successful engineers in this role have:BSCS or other technical degree plus 0-2 years experience or MSCS and some work experience or internshipAbility to demonstrate high proficiency in PythonBasic knowledge of cloud technologies like Docker, Openstack, Kuberneters, AWS, GCP and Azure.Experience with Ansible a plusA thirst to continue learningA desire and interest to learn and work in the Docker ecosystem"
3,http://www.indeed.com/rc/clk?jk=937b1f1f803a9870&fccid=4db2ddf023fb6496&vjs=3,"Denver, CO",Senior Software Engineer,Rebric,"Rebric is looking for a Senior Software Engineer to help shape and build a team that embraces a DevOps Culture. You will have the opportunity to help implement a new microservices based architecture from the ground up, helping make technology choices to allow for future growth and sustainability.

If you are interested in this position, please fill out this form:
http://rebric.io/applicant/new/4BcBFsFS
We will only be considering candidates that complete the survey. We use a machine learning algorithm to evaluate the answers and will respond within 5 business days on whether or not there will be a technical interview. If you have any questions or difficulty with the process please do not hesitate to reach out to us.

Requirements:
As a Senior Software Engineer, you will be responsible for:

Designing and implementing new platform solutions that will improve the product delivery of engineering teams throughout the world
Advocating industry best-practices in software design and continuous delivery
Improving the testability of solutions to maintain high quality standards
Evaluating and recommending the best tools and development strategies for solving common and complex engineering problems
Building secure, scalable, distributed and fault-tolerant cloud-based systems
Mentoring other developers and sharing your knowledge and experience throughout the company
Participating in Agile planning sessions, retrospectives & stakeholder demos
Helping the team meet sprint goals and overall project delivery milestones

Benefits:
Salary based off of experience, with a starting range in the mid 100’s."
4,http://www.indeed.com/rc/clk?jk=1a61b0a758b3ecf9&fccid=53c1573dc4db9cab&vjs=3,"West Melbourne, FL",Software Engineer,General Electric,"About Us:
GE is the world's Digital Industrial Company, transforming industry with software-defined machines and solutions that are connected, responsive and predictive. Through our people, leadership development, services, technology and scale, GE delivers better outcomes for global customers by speaking the language of industry.
GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

Role Summary:
The Software Engineer will be responsible to develop new features for Trip Optimizer Product. In this role you will demonstrate leadership in communicating business goals, programs, and processes for an area or business segment. You will utilize experience or expertise to solve problems, develop and execute objectives for self and others, and have the ability to effect short term and some long-term business goals.

Essential Responsibilities:

Be responsible for software development / maintenance of components, systems, and networks
Analyze user needs to design and code
Program (in C, C++, Java, etc.) all applications, components, and interfaces
Work closely with the business unit to ensure application development meets product specification requirements
Work closely with other engineering teams, partners, and vendors to ensure inter-operability/reuse
Design, implement, and test software, ensuring quality specifications are met
Participate actively in design and code reviews
Drive performance and reliability enhancements
Be responsible for close interaction with customers to drive requirements and customer satisfaction
Experience with Embedded Software Development

Qualifications/Requirements:
Basic Qualifications:

Bachelor’s Degree in Computer Science or in “STEM” Majors (Science, Technology, Engineering and Math)
A minimum of 2 years of professional experience in Software Development.
GE Leadership Program Graduates will get credit towards relevant work experience, commensurate to the program they have completed

Eligibility Requirements:

Legal authorization to work in the U.S. is required. We will not sponsor individuals for employment visas, now or in the future, for this job.
Must be willing to work out of an office located in Melbourne, FL.

Desired Characteristics:
Technical Expertise:

Knowledge of data structures, algorithms, and software engineering principles.
Knowledge of Network Protocols and Serial Communications.
Experience in leading technical discussions with key stakeholders to identify appropriate specifications.

Business Acumen:

Has the ability to break down problems and estimate time for development tasks
Has the ability to make basic technology choices based on experience
Demonstrates awareness about competitors and industry

Leadership:

Has the ability to take ownership of small tasks and deliver without supervision while using their discretion to seek help when necessary
Voices opinions and presents clear rationale. Uses data or factual evidence to influence
Recognizes collaborative behavior and participates in collaborative activities

Personal Attributes:

Demonstrate the ability to help team members
Seeks to understand problems thoroughly before implementing solutions. Asks questions to clarify requirements when ambiguities are present
Identifies opportunities for innovation and offers new ideas. Takes the initiative to experiment with new software frameworks

#DTR

Locations: United States; Florida; West Melbourne

GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

GE will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditional upon the successful completion of a background investigation and drug screen."
5,http://www.indeed.com/rc/clk?jk=1a8af41d788df61d&fccid=c1099851e9794854&vjs=3,"Santa Clara Valley, CA","Software Engineer, Robotics",Apple,"Apple is looking for a talented, proactive, and results-oriented senior software engineer. The successful candidate will drive the debugging and optimization of existing software as well as the design and implementation of state-of-the-art software for autonomous systems.


Key Qualifications
5+ years of experience developing high quality software
Proficient in object oriented design
Strong C++ and Python development skills
Experience and comfort using the command line in Unix, Linux, and/or OS X.
Solid and fluent understanding of algorithm and data structures.
Ability to write robust and portable code.
Experience developing APIs.
Demonstrated creative, critical and independent thinking capabilities and troubleshooting skills.
Strong analytical and communication skills

Description
The successful candidate will design and develop runtime performance-critical code. She/he will dive deep into existing software to: debug critical issues; find performance hotspots; and optimize the code. The candidate will develop high quality software with an emphasis on good interfaces between different software modules.


Education
B.Sc., M.Sc., or Ph.D. in computer engineering, computer science or equivalent professional experience.


Additional Requirements
Create documentation for assigned projects Participate in an Agile development environment Familiarity with statistical modeling Experience working with ROS toolkits Experience with Robotics, AI, Machine Learning, and/or Computer Vision Experience in linear algebra and 3D geometry mathematics Good communication skills and ability to work effectively cross team Experience with full software development lifecycle"
6,http://www.indeed.com/rc/clk?jk=106a8d96e01e0ddd&fccid=105ecfd0283f415f&vjs=3,Connecticut,Software Engineer Lead,Capgemini,"About Capgemini
With more than 193,000 people in over 44 countries, Capgemini is one of the world's foremost providers of consulting, technology and outsourcing services. The Group reported 2016 global revenues of EUR 12.539 billion. Together with its clients, Capgemini creates and delivers business and technology solutions that fit their needs and drive the results they want. A deeply multicultural organization, Capgemini has developed its own way of working, the Collaborative Business ExperienceTM, and draws on Rightshore®, its worldwide delivery model Learn more about us at www.capgemini.com.
Rightshore® is a trademark belonging to Capgemini
 Capgemini America Inc is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.
This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.
Job Responsibilities
Job Title: Microservices Lead
Location: Stamford, CT

Java, Spring Boot, Spring Cloud, Pivotal Cloud Foundry, Microservices design, Excellent Communication Skills, Agile experience

Candidate with minimum 6 years of strong experience on J2EE, Spring Boot, PCF Cloud technologies. Would need to work closely with the team and Clients on a daily basis. Need to have strong programming and web development skills in Java and Spring/ Struts framework.
Solid hands-on experience in architecting and developing J2EE based web applications (JSP, Servlet, JDBC, JMS, Spring framework) and Web securityExperience on Spring Boot, PCF Cloud and MicroservicesAbility to code and script front-end features.Ability to independently execute projects and troubleshoot production issues.Knowledge on Agile methodology"
7,http://www.indeed.com/rc/clk?jk=91abe1824773a6cc&fccid=b5eb441990b44e2d&vjs=3,"San Diego, CA","Software Engineer (College Grad), Payments Team",Classy,"Position Description

Classy is growing and we are currently hiring for a Software Engineer early in their career for our Payments team.

Our team is building a generalized payment platform as a set of APIs and UI supporting non-profit organizations. We are a core team at Classy and we value our ability to use modern tools and technology to provide the simplest and fastest way for donors to contribute to non profits. We place a high value on being innovative in our approach while also building with high quality architecture and code.

Classy builds on an open source stack (AngularJS, Node.js, PHP, MySQL, MongoDB, Linux) and hosts on AWS. Come join us in doing what you love to do, while making a dent in the world of philanthropy.

Your Responsibilities
---------------------


Drive new features on our core product, as well as maintain existing code.
Understand the business well enough to align your development with company goals.
Create and share dev best practices and standards. Always be learning.

About You
---------


BS in Computer Science or related field preferred
Strong focus on user experiences
Experience with AJAX based websites, JavaScript, JSON and Angular
Experience building large-scale server applications with Node.js or PHP, MySQL, MongoDB, Nginx
Understanding of Amazon Web Services
Understanding of basic MVC, ORM, and RESTful concepts in software design
Comfortable with a fast paced startup environment and tight deadlines
A passion for making this world a better place

If this sounds like you, please reach out to us as we would love to learn more about you.

Our awesome perks!
------------------


29 days off annually including vacation + holidays
20 hours paid volunteer time off
10 half-day Fridays a year
Monthly parking pass, public transit pass, or ride-share allowance
Supplemental Medical/Dental/Vision Insurance, available day one
401(k) plan
Employee Stock Options
Fitness membership discounts
Pet friendly office
Love the active life? We have company and team outings and participate in team sports
Monthly employee development courses
New expansive office in downtown San Diego overlooking Petco Park baseball stadium and the ocean

Compensation will be competitive and commensurate with experience, including equity in a SaaS company backed by prominent technology investors, including JMI Equity, Mithril, Salesforce Ventures, and Bullpen Capital. Classy has raised $53 million to-date in growth capital. For more information, visit www.classy.org ( http://www.classy.org/ ) or follow Classy on Twitter: @Classy.

About Classy
------------

Classy ( https://www.classy.org/ ) is a social enterprise that creates world-class online fundraising tools for nonprofits, modernizing the giving experience to accelerate social impact around the world. Originally started as a beach-side pub crawl to raise money for cancer research, Classy has built a powerful donor ecosystem that, since 2011, has helped thousands of organizations raise over half a billion dollars – with fundraising doubling on the platform every year since launch. Classy is trusted by organizations of all sizes, from the fastest-growing nonprofits like Team Rubicon and Malala Fund, to some of the world’s largest social organizations, such as Acumen Fund, ​Heifer International, and Shriners Hospital​s​ for Children.

A VC-backed SaaS company based in San Diego, CA and recognized by Fast Company as one of the Most Innovative Companies for Social Good, Classy boasts a culture that is exciting, result-oriented, and above all else, committed to our mission. Our customers deserve a technology solution—and a team— that can transform the giving experience. We’d love for you to be a part of it. Today, the 225-person Classy team services over 3,000 nonprofit customers and also hosts the annual Classy Awards to shine a spotlight on the innovative work nonprofits are implementing around the globe."
8,http://www.indeed.com/rc/clk?jk=089ce9e806d8130c&fccid=9b5767930d09895b&vjs=3,"Kīhei, HI",Senior Software Engineer,Integrity Applications Incorporated,"Integrity Applications Incorporated (IAI) is a software and system engineering company headquartered in Chantilly, Virginia with offices in California, Colorado, Michigan, Massachusetts, Pennsylvania, Hawaii, and Maryland. IAI has been selected as one of the best companies to work for in America by The Great Place to Work Institute and as one of the top employers in the DC Metro area by the Washingtonian Magazine. We are always looking for bright, innovative and talented people to join our team of highly skilled professionals. IAI offers challenging work, competitive salaries, and top notch health and welfare benefits for you and your family.


Pacific Defense Solutions (PDS), a division of IAI, has a rapidly expanding software presence that supports several on-going and anticipated new to be awarded DoD programs. We are looking for a Senior Software Engineer to support our on-going software development activities in Kihei, HI.


Qualified Senior Software Engineer candidates must be experienced in working in a collaborative team environment with other engineers on all phases of software development ranging from requirements definition, through development through integration and testing. Must be knowledgeable in object oriented programing paradigms and have demonstrated expertise in Java or C++. The successful candidate will support design, development and testing of broad requirements using hardware and software solutions, The successful candidate will operate and support trouble shooting from medium to enterprise-level software systems. Expertise in Agile software development paradigms and interest in scientific related programming desired.


Requirements:

Bachelor’s Degree in Engineering or Computer Science with course work including programming, mathematics or physics with 15 years of relevant software engineering experience OR Master’s Degree with 10 years relevant software engineering experience.
Solid oral presentation and writing skills is required.
Ability to work in a collaborative team environment is required.
Must have a strong desire to learn new skills.
No relocation expenses will be covered.
Security Clearance: Must meet eligibility requirements to receive a TS/SCI clearance (will sponsor clearance for eligible candidates). Active clearance preferred.


Integrity Applications Incorporated is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status or any other factor protected by law."
9,http://www.indeed.com/rc/clk?jk=ccfd413b1c4c018d&fccid=b5435bdc4be466ce&vjs=3,"Palo Alto, CA","Software Engineer, Cloud Platforms",Tesla,"We are looking for a highly motivated software engineer specializing in server-side software and backend development. Other car companies have talked for years about a future of ""connected cars."" At Tesla, we make it happen. We regularly send over-the-air software updates to our Model S and Model X fleet, seamlessly delivering new features and improvements to our customers. Our mobile applications allow customers to interact with their cars via real-time, low-latency two-way communication. We also build tools for our internal sales, delivery, and service teams. Today we remotely identify potential vehicle issues before a customer does—and often fix problems remotely too.


You will join a small, expert team building server-side software for the systems that connect Tesla and our customers to our cars, superchargers, and energy storage products. The ideal candidate will have a passion for building world-class software and a track record of success creating highly successful web applications or scalable messaging systems. You will need strong software engineering skills, excellent interpersonal communication, and experience accepting and giving meaningful feedback on technical designs and pull requests.


Responsibilities

Design and build scalable, high-availability mission-critical systems and APIs.
Solve problems using distributed, asynchronous messaging.
Work closely with product, devops, and datacenter teams.
Requirements

Bachelor’s degree or higher in CS, CE, EE or the equivalent in experience and evidence of exceptional ability.
Minimum 3 years of working experience.
Expertise in modern web technologies and frameworks, preferably Go.
Excellent interpersonal communication skills.
Smart but humble, with a bias for action."
