,url,location,job_title,company,summary
0,http://www.indeed.com/rc/clk?jk=1e4fee953abe2f87&fccid=ee9af136518294bf&vjs=3,Connecticut,Full Stack Web Developer,TRAINOR Associates,"We’re always looking for a full stack web developer who writes beautiful code. As a Trainor full stack developer, you'll interact with a large variety of projects among our many clients. You'll build and maintain code that allows our clients to tell their stories to the world.


Who You Are
Know the difference between OOP, MVC and ORM
Can debate the benefits of Foundation over Bootstrap, and vice versa
DevTools is your best friend
Can work with and create your own API’s
Geek enthusiast
Problem solver
Sense of humor
Self-directed

Requirements
Front-end & back-end website development
SilverStripe, Wordpress and similar CMS’s
Laravel
React, Vue, or Angular
Tools such as Yarn and Webpack
Responsive frameworks such as Foundation or Bootstrap
Git version control

Responsibilities
Responsive website development
Client website support (content, features, functionality)
Research, vet, learn, and deploy bleeding-edge technology and best practices on an ongoing basis
Quickly exterminate bugs
Write scalable, maintainable, and reusable code
Provide quality assurance control and cross-browser/cross-platform compatibility on all projects

Why Trainor
We are all storytellers at heart and think of things differently
We embrace all types of new technology, languages, and techniques
We have a wide variety of clients from all over the world
You can use the tools you love
Cubicles are not our friends
Some days sunglasses are required (come see us to find out why)"
1,http://www.indeed.com/rc/clk?jk=a4e996f7c7c37381&fccid=6ec8a0e09c50363b&vjs=3,Work at Home,Front End Web Developer,My Digital Shield,"Work from home or our office
"
2,http://www.indeed.com/rc/clk?jk=10fe55af918df0d0&fccid=bb307ecf9644ad08&vjs=3,"Palo Alto, CA",Web Developer - CSS/HTML,Phantom,"We are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of our website. Web developer responsibilities include building our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function.
We are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of our website. Web developer responsibilities include building our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function.
Responsibilities• Write well designed, testable, efficient code by using best software development practices

Create website layout/user interface by using standard HTML/CSS practices
Integrate data from various back-end services and databases
Gather and refine specifications and requirements based on technical needs
Cooperate with web designers to match visual design intent

Requirements:

Proven working experience in web programming
Top-notch programming skills and in-depth knowledge of modern HTML/CSS
Familiarity with at least one of the following programming languages: Javascript, Python, or Ruby
A solid understanding of how web applications work including security, session management, and best development practices
Adequate knowledge of relational database systems, Object Oriented Programming and web application development
Aggressive problem diagnosis and creative problem solving skills
Strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen
Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.

"
3,http://www.indeed.com/rc/clk?jk=f503e11dd33eb42b&fccid=9be1e169d2e16d28&vjs=3,Remote,Front-end Web Developer,Modern Message,"At Modern Message our focus is on building great products that solve real-world problems for our customers. Our core product Community Rewards, an engagement platform for apartment residents, and our rapid growth will present you with a plethora of opportunities for achievement and growth.
We are looking for a Front-End Web Developer who combines the art of design with the art of programming. Responsibilities will include UI design and actual code that will produce visual elements of the application. You will span the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works. An interest in, and appreciation for, user experience design, is a must. You will be working closely with our UX team.
Responsibilities

Design and develop new user-facing features
Ensure the technical feasibility of UI designs
Collaborate with other team members and stakeholders
Collect and analyze data regarding the success or failure of front-end UI changes

Please include any/all of the following when corresponding IRT this position: Github username, website URL, Twitter username, LinkedIn URL, Dribbble, CodePen. Please submit resumes in PDF format.

Requirements:
Skills and Qualifications

Required:

US residence and citizenship
Fluent English and excellent communication skills
HTML, CSS, SASS
JavaScript and jQuery
Git

Preferred:

Understanding of CSS methodologies (SMACSS, BEM, etc.)
Understanding of JavaScript frameworks (Backbone)
Understanding of asynchronous request handling and partial page updates
Experience with image authoring tools (Photoshop, Sketch, etc.)
Understanding of cross-browser compatibility issues and ways to work around them.
Understanding of SEO principles and experience implementing them.
Experience running A/B tests

We expect all employees to:

Maintain a high level of intellectual rigor and curiosity
Take ownership when appropriate, and know when, and who, to ask for help when needed

Benefits:
Competitive salary; health benefits; if you're in Dallas, we have a pretty stylish office downtown and are very particular about our coffee. We'll get you whatever equipment you need to best do your job.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
4,http://www.indeed.com/rc/clk?jk=59875f2da79a0b14&fccid=38be0499a8c344c0&vjs=3,Remote,Web Developer,Steady Vision,"We are digital marketing agency seeking a web developer who exhibits strong attention to detail and thrives in a dynamic environment. We’re looking for someone who is passionate about what they do and enjoys working with a small team to create meaningful digital experiences.

You’re A Fit If…

You embrace change and are eager to learn and grow.
You are organized and a good manager of time.
You think and act creatively to solve problems.
You are a good communicator and collaborator.
You are willing to go the extra mile.

Requirements:
What You’ll Be Doing…
Activities primarily focus on building, customizing and supporting digital initiatives (responsive, desktop, tablet and mobile) as well as providing CMS customization and support. As a web developer with a PHP focus, responsibilities encompass supporting the full deployment life cycle, including:


Setup & Configuration (e.g. EE, DNS, SSL, PHP, Plesk, hosting, server environment, permissions)
Coding & Programming (e.g. PHP/MySQL, JavaScript, HTML, CSS, troubleshooting, debugging)
Customization & Integration (e.g. CMS add-ons/extensions/modules, APIs, payment gateways, XML)
Optimization & Compliance (e.g. quality control, versioning, staging, performance, security, PCI)
Database Administration (e.g. data imports/exports/synchronization, data manipulation, backups).

You Must Have…


Working knowledge of HTML5, CSS3, PHP/MySQL and JavaScript (including jQuery).
Experience with popular CSS pre-processors (e.g. Sass, LESS) and frameworks (e.g. Bootstrap, Foundation).
Been involved in development and/or deployment responsive websites.
The ability to work with and advise use of device detection, cookies, sessions and CRON jobs.
A track record of writing code that is clean, understandable and cross browser compatible.
An appreciation for the interplay of design and development (including responsive design principles).

It Would Be Nice If You Have...


Background in Object-Oriented Programming.
Prior exposure to API methods, protocols, integration and support.
Experience with any of the following systems: ExpressionEngine, HubSpot, Magento, Shopify, SquareSpace, WordPress.
Experience with any of the following technologies: AJAX, CodeIgniter, Nginx, node.js, SOAP
Experience with popular JavaScriptMVC frameworks (e.g. angular.js, backbone.js, ember.js)
Familiarity with integrating and customizing: Google APIs, social media channels, Salesforce.
Professional certifications and/or educational degrees.
Familiarity with Adobe Creative Suite.

Benefits:

Small team in an entrepreneurial environment (be heard and have an impact).
Scheduling flexibility and remote working opportunities.
Company sponsored learning opportunities (e.g. resources, conferences, etc.).
Casual attire, team lunches, group outings, free coffee (always!) and beer (occasionally!).
Employee benefits (health/dental/life/disability insurance, 529 college fund & 401K options).

"
5,http://www.indeed.com/rc/clk?jk=bffcac3329d91c76&fccid=f60a06ca302ebc59&vjs=3,"Pittsburgh, PA",Front End Web Developer,Innovative Systems,"Innovative Systems is seeking an exceptional Front-End Web Developer to be part of a highly dynamic and collaborative team that brings together innovation with the art of design and programming. You will be part of creating and optimizing Innovative's industry leading solutions that bring value to our clients around the globe. Working with our UI/UX design teams, you will translate wireframes to actual code producing the visual elements of the application. You will also work to bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how well it performs.
Some things you will be doing include...
Developing new user-facing features that bring design concepts to life and improve the user experience
Building reusable code and libraries for future use
Ensuring the technical feasibility of UI/UX designs balanced with good design
Optimizing applications for maximum speed and scalability
Assuring that all user input is validated before submitting to back-end
Collaborating with other team members and stakeholders throughout the lifecycle
Experience and qualifications you need include....
Bachelor’s or Master’s degree in Computer Science, Information Technology, Mathematics or related STEM major
Proficient understanding of web markup, including HTML5, CSS
Basic understanding of server-side pre-processing platforms
Proficient understanding of client-side scripting and JavaScript frameworks, including jQuery
Good understanding of advanced JavaScript libraries and frameworks
Good understanding of asynchronous request handling, partial page updates, and AJAX
Basic knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image.
Proficient understanding of cross-browser compatibility issues and ways to work around them.
Proficient understanding of code versioning tools
Work effectively across teams, departments, geographies
Work effectively alone as well as collaboratively
ADDITIONALLY it’s a plus if you have...
Familiarity with tools such as as Gimp or Photoshop is a plus.
Fluency with other languages (written/spoken)
ABOUT INNOVATIVE
Innovative Systems, Inc. is one of the fastest growing global leaders in the development and delivery of software data quality, master data management, and risk/compliance solutions and services. Our pace is fast, our work challenging and meaningful. Our style is highly autonomous, relaxed, and collaborative. You will find superb mentoring and coworkers that are among the smartest and fun to be around."
6,http://www.indeed.com/rc/clk?jk=f843d0807922ac69&fccid=c1099851e9794854&vjs=3,"Santa Clara Valley, CA",Web Developer,Apple,"Are you looking for an exciting opportunity to work on a dynamic development team passionate about delivering software tools that support the most creative consumer electronics company in the world? Do you love the challenge of solving complex problems that can have a direct impact on the success of the company? Mac System Quality Tools Team is looking for a highly motivated, energetic, and experienced web developer with background in crafting flexible and scalable data collection, reporting and analysis tools. You'll enjoy working collaboratively with our engineering partners to design and improve our software and hardware testing infrastructure. Be a part of a diverse team of engineers using creativity and flexibility to design software that our engineers love to use. You can help inspire change, by using your skills to influence the future of our tools. You'll be challenged to make it go faster, be more reliable, and intuitive. Do you like working on a team that makes a difference with the products they create? We are an equal opportunity team with many opportunities for growth and experience. You will get to work with the latest software technologies as we refactor, extend, and enhance our current software stack. You'll work along side engineering to understand problems and delivery extraordinary solutions to our customers.


Key Qualifications
5+ years experience as a Software Engineer focussed on web applications.
Deep understanding in web development in HTML, PHP, CSS, Javascript, Ruby, Python.
In depth knowledge of REST API design.
Experience in database administration is a positive. (PostgresSQL preferable)
Ability to make data driven decisions on a regular basis.
Strong written and verbal communications skills.
Solid education operating systems (Unix, MacOS etc.)
Ability to work collaboratively with cross-functionally partners.
Ability to think creatively, problem solve, and innovate.

Description
Design and develop full-stack software solutions that include a front end (web), server and storage. Data modeling and database development. Develop in a variety of contexts using a variety of tools and languages where appropriate. Interact with QA teams to analyze requirements. Work closely and clearly communicate with all cross-functional teams."
7,http://www.indeed.com/rc/clk?jk=43d4cb7213099d91&fccid=a08ac7599cac4357&vjs=3,"Boulder, CO",Jr Web Developer,Renovation Brands,"COMPANY:
Renovation Brands is a profitable and rapidly growing online retailer looking for a Jr Developer to join our growing Digital Marketing team in Boulder, CO.
Our mission is to build on our success as a leading marketplace for home décor, home improvement and commercial interior products. We are looking to expand our marketing team with talented and bright individuals who are passionate about what they do.
YOUR ROLE:
The Jr. Developer role is responsible for building and maintaining software development initiatives as well as providing testing and support to the company’s various eCommerce platforms, websites and data integrations. This position will report to the Director of Web Development.
RESPONSIBILITIES:
Work collaboratively with team members in defining, developing and implementing technology solutions to improve business function
Participate in the planning and implementation of projects, including the design and execution of test plans
Support website development initiatives as they relate to marketing and merchandising departments
Develop/support data connections for system integrations using (REST API technologies)
Support in-house product feed platform for Amazon, JET, Google, Bing/Product Feeds and Order flow built with Node.js
Perform thorough testing of individual and other team members’ developed code
Responsible for programming, maintenance, technical support, documentation and administration of core applications, IT systems, databases and utilities
Other duties as assigned
REQUIREMENTS/SKILLS:
Minimum of 2 years total experience in website development and/or software development
Experience within an eCommerce environment strongly preferred
Proficiency with JavaScript; PHP/Magento is a plus
Proficiency with web and mobile technologies, like Google AMP; API integrations and database driven websites; like Magento
Proficiency with server/software/database technologies such as MySQL, REST APIs, AWS SDK, Version Control (Git).
Excellent problem solving, troubleshooting skills
Excellent communication (written and verbal) skills
Self-starter with ability to be productive in a fast-paced environment with minimal direction

EXPERIENCE GUIDELINES:
Direct experience with Javascript both client and server side(Node.js)
Strong problem solving and ability to work under pressure with tight deadlines
Technical skills with a passion to solve problems
Proven track record and solid references
WHAT WE OFFER:
Competitive salary, benefits, great culture
High energy, fun environment at a new, hip office complete with coffee, tea, lounge and team building (short walk to 3 different breweries!)
Opportunity to be part of something truly great and participate in the rapid growth in our Company
This is a full time in-house position - full time telecommuters will not be considered"
8,http://www.indeed.com/rc/clk?jk=143093bf2e801056&fccid=250710b384a27cb1&vjs=3,"Menlo Park, CA",Web Developer,Clear Labs,"The Web Developer will initially report to the VP of Engineering and support the development of our organization's web-based applications. You would be responsible for implementing key features of our Laboratory Management Application. This is a hands-on role, providing the opportunity to build on top-class DNA processing and analytics applications.

Requirements:
Responsibilities

Design and develop highly performant, scalable and user-friendly SaaS-based Web Applications.
Ensure excellent UX, high quality, and adherence to coding best practices.
Utilize new technologies, tools and develop proof of concepts, as needed.
Help define systems architecture and application design.
Ensure comprehensive test coverage, effective performance and load tests, timely resolution of issues, and other actions to assure delivery of quality software.

Desired Skills and Experience Requirements:

BS in Computer Sciences
3+ years of experience in a relevant position, building web applications
Top-notch programming skills and in-depth knowledge of modern HTML5/CSS3
Hands-on experience with React and other JavaScript-based frameworks
Experience using RESTful or GraphQL-based APIs
Familiarity with UX design principles
Comfortable with Linux environments

Preferred:

MS in Computer Sciences
Familiarity with Relational and/or NoSQL Databases
Exposure to genomics or bioinfomatics

"
9,http://www.indeed.com/rc/clk?jk=91c02c13cf97cd26&fccid=f34adc12ba09e47f&vjs=3,"New York, NY",Web Developer,Butterfly Network,"Job Description

Are you a web developer looking to begin or accelerate your career at a unique startup with a strong mentoring culture, cutting-edge web technology, and literally life-saving societal impact? If so, then we want you to join us at Butterfly Network, and help us bring medical imaging to everyone. Qualifications

Degree in computer science or other technical disciplines from reputable university with high GPABasic programming experience, especially in Python or JavaScriptFast learner and good problem solver0-2 years of experience in web development preferred
Additional Information

In addition to working with colleagues and advisors who are the best and brightest in their fields, we offer great perks:
Full funded medical insurance, dental, vision coverage
401K plan
Competitive salary + equity in the company
Free on-site meals + unlimited healthy snacks
Brand new office in the heart of Manhattan
Pre-tax commuter benefits
The chance to help improve the healthcare and save millions of lives!
Butterfly Network is an equal opportunity employer regardless of race, color, ancestry, religion, gender, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.
Butterfly Network does not accept agency resumes."
