,id,url,location,job_title,company,summary
0,0,http://www.indeed.com/rc/clk?jk=acec0008c6542da0&fccid=5a31ef999afce663&vjs=3,Connecticut,Full Stack Software Engineer,Nine Summer,this position is on the product team responsible for a leading saas product that is used by organizations throughout the us and hundreds of thousands of people. we have an office near new haven connecticut but you can be based anywhere. our partner patron technology is a provider of technology solutions for arts and cultural organizations. its flagship product patronmanager crm is an application built on the force.com platform that allows organizations to run all aspects of their business including selling reserved seating tickets subscriptions and memberships online managing electronic and physical communications and if applicable accepting donations all while still leveraging the core crm features of salesforce.com. the force.com platform is one of the fastest growing and exciting platform as a service offerings available today. this is your opportunity to learn a new highly marketable technology platform while being paid to do so. we are currently seeking an experienced and passionate software development professional for the role of software engineer. the ideal candidate will be able to think strategically to provide input on key components of the system while also rolling up their sleeves and executing that vision crisply. patron technology’s development team is headquartered at nine summer’s office in woodbridge ct. qualifications several years of professional web software development experience. desirable experience includes java server faces jsf and bonus points for having coded any apex visualforce disciplined approach to testing and quality assurance strong command of web standards css based design cross browser compatibility some experience in client side scripting javascript preferably using a framework such as backbone angular knockout etc. experience with api design and use you are passionate about the craft of writing software must be able to effectively communicate progress and ideas b.s. or higher in computer science or equivalent responsibilities you will immediately become a core contributor to our native force.com application that runs in the salesforce.com cloud. supporting components are written in ruby rails java android and javascript angularjs and backbone mvc . compensation competitive salary commensurate with experience and ability nice company benefits program with health insurance 401k with matching life insurance disability insurance and more casual work environment in a comfortable office space about patron technology patron technology is a software company based in new york city with its development headquarters at nine summer’s office in woodbridge ct. patron technology was founded in 2001 and enjoyed great success with its esp product patronmail. in 2008 patron technology set out to build a crm product for arts and cultural organizations. we are growing our team to help us accelerate the ability to deliver patronmanager to larger and more complex organizations and add innovations that go beyond what is available in competitive products.
1,1,http://www.indeed.com/rc/clk?jk=4b9111710c4bc473&fccid=aeb15e43a6800b9d&vjs=3,Connecticut,Software Engineer Asc,Lockheed Martin,this lockheed martin enterprise business services ebs software engineer position is a java cots developer supporting the rotary & mission systems rms business area engineering applications. a developer with a strong technical background is needed to join an existing high performing team supporting business critical applications for the rms engineering & technology organization. successful candidates will be expected to quickly come up to speed on new technologies and internal processes. this assignment works with a large and complex cots product where not all aspects are completely documented. to be successful a candidate must be willing to show initiative and develop creative java solutions utilizing the set of available resources. to facilitate necessary skill growth both on the job and formal training opportunities will be provided. this position is expected to work under supervision from technical and functional leads while addressing software development challenges of varying complexity. the applicant will be expected to integrate into an existing agile software development process utilizing daily scrums and sprints while adjusting quickly to a fast paced working environment. work location for this position can be at any u.s. based and u.s. territory lockheed martin rotary and mission systems rms facility in aguadilla puerto rico liverpool ny king of prussia pa manassas va moorestown nj orlando fl owego ny stratford ct. basic qualifications proficient java and object oriented development skills.demonstrated understanding of html css java server pages jsp javascript ajax and related concepts.strong sql skills and understanding of relational databases.ability to execute the full software development lifecycle including developing requirements.demonstrated willingness to take initiative and develop innovative solutions to complex problems.excellent written and verbal communication skills.ability to obtain a secret security clearance. desired skills knowledge of ptc windchill projectlink pdmlink or other ptc cots products.knowledge of ibm cognos business intelligence.knowledge of subversion or other major software configuration management tools.previous knowledge or training with agile software development concepts techniques and tools.demonstrated effectiveness working with teammates in a virtual environment. as a leading technology innovation company lockheed martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. lockheed martin has employees based in many states throughout the u.s. and internationally with business locations in many nations and territories. join us at lockheed martin where we’re engineering a better tomorrow. lockheed martin is an equal opportunity affirmative action employer. all qualified applicants will receive consideration for employment without regard to race color religion sex pregnancy sexual orientation gender identity national origin age protected veteran status or disability status. job location s city s aguadilla king of prussia liverpool manassas moorestown orlando owego stratford state s connecticut florida new jersey new york pennsylvania puerto rico virginia
2,2,http://www.indeed.com/rc/clk?jk=f68563da3f0597a9&fccid=e9e363d6332bc1cd&vjs=3,"Sunnyvale, CA",Software Engineer 1,Juniper Networks,software engineer backend did you spend four or more years working hard towards your education to be unfulfilled by your work do you feel like you are having no impact in your current job do you know that you can bring a fresh perspective to challenges but aren’t given the chance at juniper appformix our team is creating new products and features and all of our work is directly seen or used by our growing customer base. our engineers work together as a team collaborating and discussing new ideas daily. we share our ideas openly without worry for who gets the “glory” because when the team wins we all win. appformix is not for everyone. if collaboration isn’t your cup of tea and working in a very agile environment bothers you then we probably are not the best match. but if you are relentlessly focused on the quality of your code see the value in peer code reviews and have an interest in cloud computing then we might be a match and you should apply. as a member of this team you are creating products that will be used by all of our customers. on a daily basis you will be doing code reviews working with your team to overcome challenges the most successful engineers in this role have bscs or other technical degree plus 0 2 years experience or mscs and some work experience or internshipability to demonstrate high proficiency in pythonbasic knowledge of cloud technologies like docker openstack kuberneters aws gcp and azure.experience with ansible a plusa thirst to continue learninga desire and interest to learn and work in the docker ecosystem
3,3,http://www.indeed.com/rc/clk?jk=937b1f1f803a9870&fccid=4db2ddf023fb6496&vjs=3,"Denver, CO",Senior Software Engineer,Rebric,rebric is looking for a senior software engineer to help shape and build a team that embraces a devops culture. you will have the opportunity to help implement a new microservices based architecture from the ground up helping make technology choices to allow for future growth and sustainability. if you are interested in this position please fill out this form http rebric.io applicant new 4bcbfsfs we will only be considering candidates that complete the survey. we use a machine learning algorithm to evaluate the answers and will respond within 5 business days on whether or not there will be a technical interview. if you have any questions or difficulty with the process please do not hesitate to reach out to us. requirements as a senior software engineer you will be responsible for designing and implementing new platform solutions that will improve the product delivery of engineering teams throughout the world advocating industry best practices in software design and continuous delivery improving the testability of solutions to maintain high quality standards evaluating and recommending the best tools and development strategies for solving common and complex engineering problems building secure scalable distributed and fault tolerant cloud based systems mentoring other developers and sharing your knowledge and experience throughout the company participating in agile planning sessions retrospectives & stakeholder demos helping the team meet sprint goals and overall project delivery milestones benefits salary based off of experience with a starting range in the mid 100’s.
4,4,http://www.indeed.com/rc/clk?jk=1a61b0a758b3ecf9&fccid=53c1573dc4db9cab&vjs=3,"West Melbourne, FL",Software Engineer,General Electric,about us ge is the world's digital industrial company transforming industry with software defined machines and solutions that are connected responsive and predictive. through our people leadership development services technology and scale ge delivers better outcomes for global customers by speaking the language of industry. ge offers a great work environment professional development challenging careers and competitive compensation. ge is an equal opportunity employer. employment decisions are made without regard to race color religion national or ethnic origin sex sexual orientation gender identity or expression age disability protected veteran status or other characteristics protected by law. role summary the software engineer will be responsible to develop new features for trip optimizer product. in this role you will demonstrate leadership in communicating business goals programs and processes for an area or business segment. you will utilize experience or expertise to solve problems develop and execute objectives for self and others and have the ability to effect short term and some long term business goals. essential responsibilities be responsible for software development maintenance of components systems and networks analyze user needs to design and code program in c c++ java etc. all applications components and interfaces work closely with the business unit to ensure application development meets product specification requirements work closely with other engineering teams partners and vendors to ensure inter operability reuse design implement and test software ensuring quality specifications are met participate actively in design and code reviews drive performance and reliability enhancements be responsible for close interaction with customers to drive requirements and customer satisfaction experience with embedded software development qualifications requirements basic qualifications bachelor’s degree in computer science or in “stem” majors science technology engineering and math a minimum of 2 years of professional experience in software development. ge leadership program graduates will get credit towards relevant work experience commensurate to the program they have completed eligibility requirements legal authorization to work in the u.s. is required. we will not sponsor individuals for employment visas now or in the future for this job. must be willing to work out of an office located in melbourne fl. desired characteristics technical expertise knowledge of data structures algorithms and software engineering principles. knowledge of network protocols and serial communications. experience in leading technical discussions with key stakeholders to identify appropriate specifications. business acumen has the ability to break down problems and estimate time for development tasks has the ability to make basic technology choices based on experience demonstrates awareness about competitors and industry leadership has the ability to take ownership of small tasks and deliver without supervision while using their discretion to seek help when necessary voices opinions and presents clear rationale. uses data or factual evidence to influence recognizes collaborative behavior and participates in collaborative activities personal attributes demonstrate the ability to help team members seeks to understand problems thoroughly before implementing solutions. asks questions to clarify requirements when ambiguities are present identifies opportunities for innovation and offers new ideas. takes the initiative to experiment with new software frameworks #dtr locations united states; florida; west melbourne ge offers a great work environment professional development challenging careers and competitive compensation. ge is an equal opportunity employer. employment decisions are made without regard to race color religion national or ethnic origin sex sexual orientation gender identity or expression age disability protected veteran status or other characteristics protected by law. ge will only employ those who are legally authorized to work in the united states for this opening. any offer of employment is conditional upon the successful completion of a background investigation and drug screen.
5,5,http://www.indeed.com/rc/clk?jk=1a8af41d788df61d&fccid=c1099851e9794854&vjs=3,"Santa Clara Valley, CA","Software Engineer, Robotics",Apple,apple is looking for a talented proactive and results oriented senior software engineer. the successful candidate will drive the debugging and optimization of existing software as well as the design and implementation of state of the art software for autonomous systems. key qualifications 5+ years of experience developing high quality software proficient in object oriented design strong c++ and python development skills experience and comfort using the command line in unix linux and or os x. solid and fluent understanding of algorithm and data structures. ability to write robust and portable code. experience developing apis. demonstrated creative critical and independent thinking capabilities and troubleshooting skills. strong analytical and communication skills description the successful candidate will design and develop runtime performance critical code. she he will dive deep into existing software to debug critical issues; find performance hotspots; and optimize the code. the candidate will develop high quality software with an emphasis on good interfaces between different software modules. education b.sc. m.sc. or ph.d. in computer engineering computer science or equivalent professional experience. additional requirements create documentation for assigned projects participate in an agile development environment familiarity with statistical modeling experience working with ros toolkits experience with robotics ai machine learning and or computer vision experience in linear algebra and 3d geometry mathematics good communication skills and ability to work effectively cross team experience with full software development lifecycle
6,6,http://www.indeed.com/rc/clk?jk=106a8d96e01e0ddd&fccid=105ecfd0283f415f&vjs=3,Connecticut,Software Engineer Lead,Capgemini,about capgemini with more than 193 000 people in over 44 countries capgemini is one of the world's foremost providers of consulting technology and outsourcing services. the group reported 2016 global revenues of eur 12.539 billion. together with its clients capgemini creates and delivers business and technology solutions that fit their needs and drive the results they want. a deeply multicultural organization capgemini has developed its own way of working the collaborative business experiencetm and draws on rightshore® its worldwide delivery model learn more about us at www.capgemini.com. rightshore® is a trademark belonging to capgemini capgemini america inc is an equal opportunity employer encouraging diversity in the workplace. all qualified applicants will receive consideration for employment without regard to race national origin gender identity expression age religion disability sexual orientation genetics veteran status marital status or any other characteristic protected by law. this is a general description of the duties responsibilities and qualifications required for this position. physical mental sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. whenever necessary to provide individuals with disabilities an equal employment opportunity capgemini will consider reasonable accommodations that might involve varying job requirements and or changing the way this job is performed provided that such accommodations do not pose an undue hardship. job responsibilities job title microservices lead location stamford ct java spring boot spring cloud pivotal cloud foundry microservices design excellent communication skills agile experience candidate with minimum 6 years of strong experience on j2ee spring boot pcf cloud technologies. would need to work closely with the team and clients on a daily basis. need to have strong programming and web development skills in java and spring struts framework. solid hands on experience in architecting and developing j2ee based web applications jsp servlet jdbc jms spring framework and web securityexperience on spring boot pcf cloud and microservicesability to code and script front end features.ability to independently execute projects and troubleshoot production issues.knowledge on agile methodology
7,7,http://www.indeed.com/rc/clk?jk=91abe1824773a6cc&fccid=b5eb441990b44e2d&vjs=3,"San Diego, CA","Software Engineer (College Grad), Payments Team",Classy,position description classy is growing and we are currently hiring for a software engineer early in their career for our payments team. our team is building a generalized payment platform as a set of apis and ui supporting non profit organizations. we are a core team at classy and we value our ability to use modern tools and technology to provide the simplest and fastest way for donors to contribute to non profits. we place a high value on being innovative in our approach while also building with high quality architecture and code. classy builds on an open source stack angularjs node.js php mysql mongodb linux and hosts on aws. come join us in doing what you love to do while making a dent in the world of philanthropy. your responsibilities drive new features on our core product as well as maintain existing code. understand the business well enough to align your development with company goals. create and share dev best practices and standards. always be learning. about you bs in computer science or related field preferred strong focus on user experiences experience with ajax based websites javascript json and angular experience building large scale server applications with node.js or php mysql mongodb nginx understanding of amazon web services understanding of basic mvc orm and restful concepts in software design comfortable with a fast paced startup environment and tight deadlines a passion for making this world a better place if this sounds like you please reach out to us as we would love to learn more about you. our awesome perks 29 days off annually including vacation + holidays 20 hours paid volunteer time off 10 half day fridays a year monthly parking pass public transit pass or ride share allowance supplemental medical dental vision insurance available day one 401 k plan employee stock options fitness membership discounts pet friendly office love the active life we have company and team outings and participate in team sports monthly employee development courses new expansive office in downtown san diego overlooking petco park baseball stadium and the ocean compensation will be competitive and commensurate with experience including equity in a saas company backed by prominent technology investors including jmi equity mithril salesforce ventures and bullpen capital. classy has raised $53 million to date in growth capital. for more information visit www.classy.org http www.classy.org or follow classy on twitter @classy. about classy classy https www.classy.org is a social enterprise that creates world class online fundraising tools for nonprofits modernizing the giving experience to accelerate social impact around the world. originally started as a beach side pub crawl to raise money for cancer research classy has built a powerful donor ecosystem that since 2011 has helped thousands of organizations raise over half a billion dollars – with fundraising doubling on the platform every year since launch. classy is trusted by organizations of all sizes from the fastest growing nonprofits like team rubicon and malala fund to some of the world’s largest social organizations such as acumen fund ​heifer international and shriners hospital​s​ for children. a vc backed saas company based in san diego ca and recognized by fast company as one of the most innovative companies for social good classy boasts a culture that is exciting result oriented and above all else committed to our mission. our customers deserve a technology solution and a team that can transform the giving experience. we’d love for you to be a part of it. today the 225 person classy team services over 3 000 nonprofit customers and also hosts the annual classy awards to shine a spotlight on the innovative work nonprofits are implementing around the globe.
8,8,http://www.indeed.com/rc/clk?jk=089ce9e806d8130c&fccid=9b5767930d09895b&vjs=3,"Kīhei, HI",Senior Software Engineer,Integrity Applications Incorporated,integrity applications incorporated iai is a software and system engineering company headquartered in chantilly virginia with offices in california colorado michigan massachusetts pennsylvania hawaii and maryland. iai has been selected as one of the best companies to work for in america by the great place to work institute and as one of the top employers in the dc metro area by the washingtonian magazine. we are always looking for bright innovative and talented people to join our team of highly skilled professionals. iai offers challenging work competitive salaries and top notch health and welfare benefits for you and your family. pacific defense solutions pds a division of iai has a rapidly expanding software presence that supports several on going and anticipated new to be awarded dod programs. we are looking for a senior software engineer to support our on going software development activities in kihei hi. qualified senior software engineer candidates must be experienced in working in a collaborative team environment with other engineers on all phases of software development ranging from requirements definition through development through integration and testing. must be knowledgeable in object oriented programing paradigms and have demonstrated expertise in java or c++. the successful candidate will support design development and testing of broad requirements using hardware and software solutions the successful candidate will operate and support trouble shooting from medium to enterprise level software systems. expertise in agile software development paradigms and interest in scientific related programming desired. requirements bachelor’s degree in engineering or computer science with course work including programming mathematics or physics with 15 years of relevant software engineering experience or master’s degree with 10 years relevant software engineering experience. solid oral presentation and writing skills is required. ability to work in a collaborative team environment is required. must have a strong desire to learn new skills. no relocation expenses will be covered. security clearance must meet eligibility requirements to receive a ts sci clearance will sponsor clearance for eligible candidates . active clearance preferred. integrity applications incorporated is an equal opportunity affirmative action employer. all qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin disability protected veteran status or any other factor protected by law.
9,9,http://www.indeed.com/rc/clk?jk=ccfd413b1c4c018d&fccid=b5435bdc4be466ce&vjs=3,"Palo Alto, CA","Software Engineer, Cloud Platforms",Tesla,"we are looking for a highly motivated software engineer specializing in server side software and backend development. other car companies have talked for years about a future of ""connected cars."" at tesla we make it happen. we regularly send over the air software updates to our model s and model x fleet seamlessly delivering new features and improvements to our customers. our mobile applications allow customers to interact with their cars via real time low latency two way communication. we also build tools for our internal sales delivery and service teams. today we remotely identify potential vehicle issues before a customer does and often fix problems remotely too. you will join a small expert team building server side software for the systems that connect tesla and our customers to our cars superchargers and energy storage products. the ideal candidate will have a passion for building world class software and a track record of success creating highly successful web applications or scalable messaging systems. you will need strong software engineering skills excellent interpersonal communication and experience accepting and giving meaningful feedback on technical designs and pull requests. responsibilities design and build scalable high availability mission critical systems and apis. solve problems using distributed asynchronous messaging. work closely with product devops and datacenter teams. requirements bachelor’s degree or higher in cs ce ee or the equivalent in experience and evidence of exceptional ability. minimum 3 years of working experience. expertise in modern web technologies and frameworks preferably go. excellent interpersonal communication skills. smart but humble with a bias for action."
