,id,url,location,job_title,company,summary
0,0,http://www.indeed.com/rc/clk?jk=1e4fee953abe2f87&fccid=ee9af136518294bf&vjs=3,Connecticut,Full Stack Web Developer,TRAINOR Associates,we’re always looking for a full stack web developer who writes beautiful code. as a trainor full stack developer you'll interact with a large variety of projects among our many clients. you'll build and maintain code that allows our clients to tell their stories to the world. who you are know the difference between oop mvc and orm can debate the benefits of foundation over bootstrap and vice versa devtools is your best friend can work with and create your own api’s geek enthusiast problem solver sense of humor self directed requirements front end & back end website development silverstripe wordpress and similar cms’s laravel react vue or angular tools such as yarn and webpack responsive frameworks such as foundation or bootstrap git version control responsibilities responsive website development client website support content features functionality research vet learn and deploy bleeding edge technology and best practices on an ongoing basis quickly exterminate bugs write scalable maintainable and reusable code provide quality assurance control and cross browser cross platform compatibility on all projects why trainor we are all storytellers at heart and think of things differently we embrace all types of new technology languages and techniques we have a wide variety of clients from all over the world you can use the tools you love cubicles are not our friends some days sunglasses are required come see us to find out why
1,1,http://www.indeed.com/rc/clk?jk=a4e996f7c7c37381&fccid=6ec8a0e09c50363b&vjs=3,Work at Home,Front End Web Developer,My Digital Shield,work from home or our office
2,2,http://www.indeed.com/rc/clk?jk=10fe55af918df0d0&fccid=bb307ecf9644ad08&vjs=3,"Palo Alto, CA",Web Developer - CSS/HTML,Phantom,we are looking for an outstanding web developer to be responsible for the coding innovative design and layout of our website. web developer responsibilities include building our website from concept all the way to completion from the bottom up fashioning everything from the home page to site layout and function. we are looking for an outstanding web developer to be responsible for the coding innovative design and layout of our website. web developer responsibilities include building our website from concept all the way to completion from the bottom up fashioning everything from the home page to site layout and function. responsibilities write well designed testable efficient code by using best software development practices create website layout user interface by using standard html css practices integrate data from various back end services and databases gather and refine specifications and requirements based on technical needs cooperate with web designers to match visual design intent requirements proven working experience in web programming top notch programming skills and in depth knowledge of modern html css familiarity with at least one of the following programming languages javascript python or ruby a solid understanding of how web applications work including security session management and best development practices adequate knowledge of relational database systems object oriented programming and web application development aggressive problem diagnosis and creative problem solving skills strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen ability to work and thrive in a fast paced environment learn rapidly and master diverse web technologies and techniques.
3,3,http://www.indeed.com/rc/clk?jk=f503e11dd33eb42b&fccid=9be1e169d2e16d28&vjs=3,Remote,Front-end Web Developer,Modern Message,at modern message our focus is on building great products that solve real world problems for our customers. our core product community rewards an engagement platform for apartment residents and our rapid growth will present you with a plethora of opportunities for achievement and growth. we are looking for a front end web developer who combines the art of design with the art of programming. responsibilities will include ui design and actual code that will produce visual elements of the application. you will span the gap between graphical design and technical implementation taking an active role on both sides and defining how the application looks as well as how it works. an interest in and appreciation for user experience design is a must. you will be working closely with our ux team. responsibilities design and develop new user facing features ensure the technical feasibility of ui designs collaborate with other team members and stakeholders collect and analyze data regarding the success or failure of front end ui changes please include any all of the following when corresponding irt this position github username website url twitter username linkedin url dribbble codepen. please submit resumes in pdf format. requirements skills and qualifications required us residence and citizenship fluent english and excellent communication skills html css sass javascript and jquery git preferred understanding of css methodologies smacss bem etc. understanding of javascript frameworks backbone understanding of asynchronous request handling and partial page updates experience with image authoring tools photoshop sketch etc. understanding of cross browser compatibility issues and ways to work around them. understanding of seo principles and experience implementing them. experience running a b tests we expect all employees to maintain a high level of intellectual rigor and curiosity take ownership when appropriate and know when and who to ask for help when needed benefits competitive salary; health benefits; if you're in dallas we have a pretty stylish office downtown and are very particular about our coffee. we'll get you whatever equipment you need to best do your job. we are an equal opportunity employer and value diversity at our company. we do not discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status.
4,4,http://www.indeed.com/rc/clk?jk=59875f2da79a0b14&fccid=38be0499a8c344c0&vjs=3,Remote,Web Developer,Steady Vision,we are digital marketing agency seeking a web developer who exhibits strong attention to detail and thrives in a dynamic environment. we’re looking for someone who is passionate about what they do and enjoys working with a small team to create meaningful digital experiences. you’re a fit if… you embrace change and are eager to learn and grow. you are organized and a good manager of time. you think and act creatively to solve problems. you are a good communicator and collaborator. you are willing to go the extra mile. requirements what you’ll be doing… activities primarily focus on building customizing and supporting digital initiatives responsive desktop tablet and mobile as well as providing cms customization and support. as a web developer with a php focus responsibilities encompass supporting the full deployment life cycle including setup & configuration e.g. ee dns ssl php plesk hosting server environment permissions coding & programming e.g. php mysql javascript html css troubleshooting debugging customization & integration e.g. cms add ons extensions modules apis payment gateways xml optimization & compliance e.g. quality control versioning staging performance security pci database administration e.g. data imports exports synchronization data manipulation backups . you must have… working knowledge of html5 css3 php mysql and javascript including jquery . experience with popular css pre processors e.g. sass less and frameworks e.g. bootstrap foundation . been involved in development and or deployment responsive websites. the ability to work with and advise use of device detection cookies sessions and cron jobs. a track record of writing code that is clean understandable and cross browser compatible. an appreciation for the interplay of design and development including responsive design principles . it would be nice if you have... background in object oriented programming. prior exposure to api methods protocols integration and support. experience with any of the following systems expressionengine hubspot magento shopify squarespace wordpress. experience with any of the following technologies ajax codeigniter nginx node.js soap experience with popular javascriptmvc frameworks e.g. angular.js backbone.js ember.js familiarity with integrating and customizing google apis social media channels salesforce. professional certifications and or educational degrees. familiarity with adobe creative suite. benefits small team in an entrepreneurial environment be heard and have an impact . scheduling flexibility and remote working opportunities. company sponsored learning opportunities e.g. resources conferences etc. . casual attire team lunches group outings free coffee always and beer occasionally . employee benefits health dental life disability insurance 529 college fund & 401k options .
5,5,http://www.indeed.com/rc/clk?jk=bffcac3329d91c76&fccid=f60a06ca302ebc59&vjs=3,"Pittsburgh, PA",Front End Web Developer,Innovative Systems,innovative systems is seeking an exceptional front end web developer to be part of a highly dynamic and collaborative team that brings together innovation with the art of design and programming. you will be part of creating and optimizing innovative's industry leading solutions that bring value to our clients around the globe. working with our ui ux design teams you will translate wireframes to actual code producing the visual elements of the application. you will also work to bridge the gap between graphical design and technical implementation taking an active role on both sides and defining how the application looks as well as how well it performs. some things you will be doing include... developing new user facing features that bring design concepts to life and improve the user experience building reusable code and libraries for future use ensuring the technical feasibility of ui ux designs balanced with good design optimizing applications for maximum speed and scalability assuring that all user input is validated before submitting to back end collaborating with other team members and stakeholders throughout the lifecycle experience and qualifications you need include.... bachelor’s or master’s degree in computer science information technology mathematics or related stem major proficient understanding of web markup including html5 css basic understanding of server side pre processing platforms proficient understanding of client side scripting and javascript frameworks including jquery good understanding of advanced javascript libraries and frameworks good understanding of asynchronous request handling partial page updates and ajax basic knowledge of image authoring tools to be able to crop resize or perform small adjustments on an image. proficient understanding of cross browser compatibility issues and ways to work around them. proficient understanding of code versioning tools work effectively across teams departments geographies work effectively alone as well as collaboratively additionally it’s a plus if you have... familiarity with tools such as as gimp or photoshop is a plus. fluency with other languages written spoken about innovative innovative systems inc. is one of the fastest growing global leaders in the development and delivery of software data quality master data management and risk compliance solutions and services. our pace is fast our work challenging and meaningful. our style is highly autonomous relaxed and collaborative. you will find superb mentoring and coworkers that are among the smartest and fun to be around.
6,6,http://www.indeed.com/rc/clk?jk=f843d0807922ac69&fccid=c1099851e9794854&vjs=3,"Santa Clara Valley, CA",Web Developer,Apple,are you looking for an exciting opportunity to work on a dynamic development team passionate about delivering software tools that support the most creative consumer electronics company in the world do you love the challenge of solving complex problems that can have a direct impact on the success of the company mac system quality tools team is looking for a highly motivated energetic and experienced web developer with background in crafting flexible and scalable data collection reporting and analysis tools. you'll enjoy working collaboratively with our engineering partners to design and improve our software and hardware testing infrastructure. be a part of a diverse team of engineers using creativity and flexibility to design software that our engineers love to use. you can help inspire change by using your skills to influence the future of our tools. you'll be challenged to make it go faster be more reliable and intuitive. do you like working on a team that makes a difference with the products they create we are an equal opportunity team with many opportunities for growth and experience. you will get to work with the latest software technologies as we refactor extend and enhance our current software stack. you'll work along side engineering to understand problems and delivery extraordinary solutions to our customers. key qualifications 5+ years experience as a software engineer focussed on web applications. deep understanding in web development in html php css javascript ruby python. in depth knowledge of rest api design. experience in database administration is a positive. postgressql preferable ability to make data driven decisions on a regular basis. strong written and verbal communications skills. solid education operating systems unix macos etc. ability to work collaboratively with cross functionally partners. ability to think creatively problem solve and innovate. description design and develop full stack software solutions that include a front end web server and storage. data modeling and database development. develop in a variety of contexts using a variety of tools and languages where appropriate. interact with qa teams to analyze requirements. work closely and clearly communicate with all cross functional teams.
7,7,http://www.indeed.com/rc/clk?jk=43d4cb7213099d91&fccid=a08ac7599cac4357&vjs=3,"Boulder, CO",Jr Web Developer,Renovation Brands,company renovation brands is a profitable and rapidly growing online retailer looking for a jr developer to join our growing digital marketing team in boulder co. our mission is to build on our success as a leading marketplace for home décor home improvement and commercial interior products. we are looking to expand our marketing team with talented and bright individuals who are passionate about what they do. your role the jr. developer role is responsible for building and maintaining software development initiatives as well as providing testing and support to the company’s various ecommerce platforms websites and data integrations. this position will report to the director of web development. responsibilities work collaboratively with team members in defining developing and implementing technology solutions to improve business function participate in the planning and implementation of projects including the design and execution of test plans support website development initiatives as they relate to marketing and merchandising departments develop support data connections for system integrations using rest api technologies support in house product feed platform for amazon jet google bing product feeds and order flow built with node.js perform thorough testing of individual and other team members’ developed code responsible for programming maintenance technical support documentation and administration of core applications it systems databases and utilities other duties as assigned requirements skills minimum of 2 years total experience in website development and or software development experience within an ecommerce environment strongly preferred proficiency with javascript; php magento is a plus proficiency with web and mobile technologies like google amp; api integrations and database driven websites; like magento proficiency with server software database technologies such as mysql rest apis aws sdk version control git . excellent problem solving troubleshooting skills excellent communication written and verbal skills self starter with ability to be productive in a fast paced environment with minimal direction experience guidelines direct experience with javascript both client and server side node.js strong problem solving and ability to work under pressure with tight deadlines technical skills with a passion to solve problems proven track record and solid references what we offer competitive salary benefits great culture high energy fun environment at a new hip office complete with coffee tea lounge and team building short walk to 3 different breweries opportunity to be part of something truly great and participate in the rapid growth in our company this is a full time in house position full time telecommuters will not be considered
8,8,http://www.indeed.com/rc/clk?jk=143093bf2e801056&fccid=250710b384a27cb1&vjs=3,"Menlo Park, CA",Web Developer,Clear Labs,the web developer will initially report to the vp of engineering and support the development of our organization's web based applications. you would be responsible for implementing key features of our laboratory management application. this is a hands on role providing the opportunity to build on top class dna processing and analytics applications. requirements responsibilities design and develop highly performant scalable and user friendly saas based web applications. ensure excellent ux high quality and adherence to coding best practices. utilize new technologies tools and develop proof of concepts as needed. help define systems architecture and application design. ensure comprehensive test coverage effective performance and load tests timely resolution of issues and other actions to assure delivery of quality software. desired skills and experience requirements bs in computer sciences 3+ years of experience in a relevant position building web applications top notch programming skills and in depth knowledge of modern html5 css3 hands on experience with react and other javascript based frameworks experience using restful or graphql based apis familiarity with ux design principles comfortable with linux environments preferred ms in computer sciences familiarity with relational and or nosql databases exposure to genomics or bioinfomatics
9,9,http://www.indeed.com/rc/clk?jk=91c02c13cf97cd26&fccid=f34adc12ba09e47f&vjs=3,"New York, NY",Web Developer,Butterfly Network,job description are you a web developer looking to begin or accelerate your career at a unique startup with a strong mentoring culture cutting edge web technology and literally life saving societal impact if so then we want you to join us at butterfly network and help us bring medical imaging to everyone. qualifications degree in computer science or other technical disciplines from reputable university with high gpabasic programming experience especially in python or javascriptfast learner and good problem solver0 2 years of experience in web development preferred additional information in addition to working with colleagues and advisors who are the best and brightest in their fields we offer great perks full funded medical insurance dental vision coverage 401k plan competitive salary + equity in the company free on site meals + unlimited healthy snacks brand new office in the heart of manhattan pre tax commuter benefits the chance to help improve the healthcare and save millions of lives butterfly network is an equal opportunity employer regardless of race color ancestry religion gender national origin sexual orientation age citizenship marital status disability or veteran status. butterfly network does not accept agency resumes.
